 Nascidos vivos - Brasil
Nascim p/resid.mãe por Município
Peso ao nascer: 1500 a 2499 g
Período:2010
"Município";"Nascim_p/resid.mãe"
" MUNICIPIO IGNORADO - RO";-
"110001 ALTA FLORESTA D'OESTE";19
"110002 ARIQUEMES";100
"110003 CABIXI";1
"110004 CACOAL";85
"110005 CEREJEIRAS";14
"110006 COLORADO DO OESTE";20
"110007 CORUMBIARA";7
"110008 COSTA MARQUES";12
"110009 ESPIGAO D'OESTE";31
"110010 GUAJARA-MIRIM";33
"110011 JARU";47
"110012 JI-PARANA";81
"110013 MACHADINHO D'OESTE";26
"110014 NOVA BRASILANDIA D'OESTE";24
"110015 OURO PRETO DO OESTE";45
"110018 PIMENTA BUENO";39
"110020 PORTO VELHO";566
"110025 PRESIDENTE MEDICI";16
"110026 RIO CRESPO";2
"110028 ROLIM DE MOURA";46
"110029 SANTA LUZIA D'OESTE";5
"110030 VILHENA";79
"110032 SAO MIGUEL DO GUAPORE";10
"110033 NOVA MAMORE";14
"110034 ALVORADA D'OESTE";5
"110037 ALTO ALEGRE DOS PARECIS";14
"110040 ALTO PARAISO";21
"110045 BURITIS";31
"110050 NOVO HORIZONTE DO OESTE";5
"110060 CACAULANDIA";6
"110070 CAMPO NOVO DE RONDONIA";6
"110080 CANDEIAS DO JAMARI";26
"110090 CASTANHEIRAS";2
"110092 CHUPINGUAIA";10
"110094 CUJUBIM";11
"110100 GOVERNADOR JORGE TEIXEIRA";7
"110110 ITAPUA DO OESTE";7
"110120 MINISTRO ANDREAZZA";5
"110130 MIRANTE DA SERRA";13
"110140 MONTE NEGRO";15
"110143 NOVA UNIAO";7
"110145 PARECIS";2
"110146 PIMENTEIRAS DO OESTE";3
"110147 PRIMAVERA DE RONDONIA";2
"110148 SAO FELIPE D'OESTE";3
"110149 SAO FRANCISCO DO GUAPORE";12
"110150 SERINGUEIRAS";5
"110155 TEIXEIROPOLIS";-
"110160 THEOBROMA";5
"110170 URUPA";7
"110175 VALE DO ANARI";5
"110180 VALE DO PARAISO";4
" MUNICIPIO IGNORADO - AC";-
"120001 ACRELANDIA";17
"120005 ASSIS BRASIL";14
"120010 BRASILEIA";25
"120013 BUJARI";10
"120017 CAPIXABA";17
"120020 CRUZEIRO DO SUL";110
"120025 EPITACIOLANDIA";10
"120030 FEIJO";38
"120032 JORDAO";39
"120033 MANCIO LIMA";21
"120034 MANOEL URBANO";6
"120035 MARECHAL THAUMATURGO";20
"120038 PLACIDO DE CASTRO";17
"120039 PORTO WALTER";18
"120040 RIO BRANCO";481
"120042 RODRIGUES ALVES";16
"120043 SANTA ROSA DO PURUS";13
"120045 SENADOR GUIOMARD";24
"120050 SENA MADUREIRA";41
"120060 TARAUACA";48
"120070 XAPURI";14
"120080 PORTO ACRE";24
" MUNICIPIO IGNORADO - AM";-
"130002 ALVARAES";14
"130006 AMATURA";16
"130008 ANAMA";13
"130010 ANORI";7
"130014 APUI";13
"130020 ATALAIA DO NORTE";23
"130030 AUTAZES";37
"130040 BARCELOS";18
"130050 BARREIRINHA";28
"130060 BENJAMIN CONSTANT";62
"130063 BERURI";19
"130068 BOA VISTA DO RAMOS";20
"130070 BOCA DO ACRE";51
"130080 BORBA";42
"130083 CAAPIRANGA";13
"130090 CANUTAMA";14
"130100 CARAUARI";28
"130110 CAREIRO";26
"130115 CAREIRO DA VARZEA";7
"130120 COARI";117
"130130 CODAJAS";26
"130140 EIRUNEPE";73
"130150 ENVIRA";23
"130160 FONTE BOA";42
"130165 GUAJARA";22
"130170 HUMAITA";43
"130180 IPIXUNA";27
"130185 IRANDUBA";36
"130190 ITACOATIARA";102
"130195 ITAMARATI";11
"130200 ITAPIRANGA";14
"130210 JAPURA";4
"130220 JURUA";5
"130230 JUTAI";26
"130240 LABREA";30
"130250 MANACAPURU";135
"130255 MANAQUIRI";15
"130260 MANAUS";2735
"130270 MANICORE";48
"130280 MARAA";13
"130290 MAUES";82
"130300 NHAMUNDA";13
"130310 NOVA OLINDA DO NORTE";48
"130320 NOVO AIRAO";17
"130330 NOVO ARIPUANA";15
"130340 PARINTINS";135
"130350 PAUINI";14
"130353 PRESIDENTE FIGUEIREDO";22
"130356 RIO PRETO DA EVA";23
"130360 SANTA ISABEL DO RIO NEGRO";19
"130370 SANTO ANTONIO DO ICA";40
"130380 SAO GABRIEL DA CACHOEIRA";45
"130390 SAO PAULO DE OLIVENCA";42
"130395 SAO SEBASTIAO DO UATUMA";5
"130400 SILVES";6
"130406 TABATINGA";86
"130410 TAPAUA";18
"130420 TEFE";83
"130423 TONANTINS";24
"130426 UARINI";25
"130430 URUCARA";12
"130440 URUCURITUBA";22
" MUNICIPIO IGNORADO - RR";-
"140002 AMAJARI";34
"140005 ALTO ALEGRE";74
"140010 BOA VISTA";329
"140015 BONFIM";21
"140017 CANTA";17
"140020 CARACARAI";18
"140023 CAROEBE";12
"140028 IRACEMA";19
"140030 MUCAJAI";13
"140040 NORMANDIA";10
"140045 PACARAIMA";17
"140047 RORAINOPOLIS";25
"140050 SAO JOAO DA BALIZA";6
"140060 SAO LUIZ";6
"140070 UIRAMUTA";19
" MUNICIPIO IGNORADO - PA";-
"150010 ABAETETUBA";147
"150013 ABEL FIGUEIREDO";6
"150020 ACARA";41
"150030 AFUA";50
"150034 AGUA AZUL DO NORTE";10
"150040 ALENQUER";64
"150050 ALMEIRIM";44
"150060 ALTAMIRA";148
"150070 ANAJAS";17
"150080 ANANINDEUA";667
"150085 ANAPU";13
"150090 AUGUSTO CORREA";74
"150095 AURORA DO PARA";18
"150100 AVEIRO";6
"150110 BAGRE";44
"150120 BAIAO";36
"150125 BANNACH";2
"150130 BARCARENA";156
"150140 BELEM";1842
"150145 BELTERRA";9
"150150 BENEVIDES";70
"150157 BOM JESUS DO TOCANTINS";11
"150160 BONITO";12
"150170 BRAGANCA";162
"150172 BRASIL NOVO";22
"150175 BREJO GRANDE DO ARAGUAIA";10
"150178 BREU BRANCO";50
"150180 BREVES";136
"150190 BUJARU";31
"150195 CACHOEIRA DO PIRIA";13
"150200 CACHOEIRA DO ARARI";18
"150210 CAMETA";218
"150215 CANAA DOS CARAJAS";41
"150220 CAPANEMA";55
"150230 CAPITAO POCO";36
"150240 CASTANHAL";173
"150250 CHAVES";14
"150260 COLARES";12
"150270 CONCEICAO DO ARAGUAIA";42
"150275 CONCORDIA DO PARA";27
"150276 CUMARU DO NORTE";7
"150277 CURIONOPOLIS";15
"150280 CURRALINHO";44
"150285 CURUA";8
"150290 CURUCA";42
"150293 DOM ELISEU";41
"150295 ELDORADO DOS CARAJAS";34
"150300 FARO";9
"150304 FLORESTA DO ARAGUAIA";34
"150307 GARRAFAO DO NORTE";26
"150309 GOIANESIA DO PARA";49
"150310 GURUPA";44
"150320 IGARAPE-ACU";39
"150330 IGARAPE-MIRI";94
"150340 INHANGAPI";10
"150345 IPIXUNA DO PARA";40
"150350 IRITUIA";23
"150360 ITAITUBA";100
"150370 ITUPIRANGA";37
"150375 JACAREACANGA";30
"150380 JACUNDA";44
"150390 JURUTI";83
"150400 LIMOEIRO DO AJURU";24
"150405 MAE DO RIO";17
"150410 MAGALHAES BARATA";3
"150420 MARABA";341
"150430 MARACANA";24
