 Nascidos vivos - Brasil
Nascim p/resid.mãe por Município
Peso ao nascer: 1000 a 1499 g, 1500 a 2499 g
Período:2010
"Município";"Nascim_p/resid.mãe"
" MUNICIPIO IGNORADO - RO";-
"110001 ALTA FLORESTA D'OESTE";22
"110002 ARIQUEMES";110
"110003 CABIXI";1
"110004 CACOAL";95
"110005 CEREJEIRAS";14
"110006 COLORADO DO OESTE";21
"110007 CORUMBIARA";7
"110008 COSTA MARQUES";13
"110009 ESPIGAO D'OESTE";35
"110010 GUAJARA-MIRIM";37
"110011 JARU";54
"110012 JI-PARANA";89
"110013 MACHADINHO D'OESTE";27
"110014 NOVA BRASILANDIA D'OESTE";25
"110015 OURO PRETO DO OESTE";50
"110018 PIMENTA BUENO";45
"110020 PORTO VELHO";623
"110025 PRESIDENTE MEDICI";18
"110026 RIO CRESPO";2
"110028 ROLIM DE MOURA";50
"110029 SANTA LUZIA D'OESTE";7
"110030 VILHENA";90
"110032 SAO MIGUEL DO GUAPORE";12
"110033 NOVA MAMORE";15
"110034 ALVORADA D'OESTE";6
"110037 ALTO ALEGRE DOS PARECIS";16
"110040 ALTO PARAISO";24
"110045 BURITIS";31
"110050 NOVO HORIZONTE DO OESTE";5
"110060 CACAULANDIA";6
"110070 CAMPO NOVO DE RONDONIA";8
"110080 CANDEIAS DO JAMARI";33
"110090 CASTANHEIRAS";2
"110092 CHUPINGUAIA";10
"110094 CUJUBIM";12
"110100 GOVERNADOR JORGE TEIXEIRA";7
"110110 ITAPUA DO OESTE";8
"110120 MINISTRO ANDREAZZA";6
"110130 MIRANTE DA SERRA";14
"110140 MONTE NEGRO";15
"110143 NOVA UNIAO";7
"110145 PARECIS";2
"110146 PIMENTEIRAS DO OESTE";5
"110147 PRIMAVERA DE RONDONIA";2
"110148 SAO FELIPE D'OESTE";3
"110149 SAO FRANCISCO DO GUAPORE";13
"110150 SERINGUEIRAS";5
"110155 TEIXEIROPOLIS";-
"110160 THEOBROMA";6
"110170 URUPA";9
"110175 VALE DO ANARI";5
"110180 VALE DO PARAISO";5
" MUNICIPIO IGNORADO - AC";-
"120001 ACRELANDIA";18
"120005 ASSIS BRASIL";15
"120010 BRASILEIA";28
"120013 BUJARI";11
"120017 CAPIXABA";18
"120020 CRUZEIRO DO SUL";114
"120025 EPITACIOLANDIA";11
"120030 FEIJO";43
"120032 JORDAO";39
"120033 MANCIO LIMA";23
"120034 MANOEL URBANO";6
