 Nascidos vivos - Brasil
Nascim p/resid.mãe por Município
Peso ao nascer: 4000g e mais
Período:2010
"Município";"Nascim_p/resid.mãe"
" MUNICIPIO IGNORADO - RO";-
"110001 ALTA FLORESTA D'OESTE";26
"110002 ARIQUEMES";58
"110003 CABIXI";4
"110004 CACOAL";61
"110005 CEREJEIRAS";18
"110006 COLORADO DO OESTE";13
"110007 CORUMBIARA";6
"110008 COSTA MARQUES";15
"110009 ESPIGAO D'OESTE";22
"110010 GUAJARA-MIRIM";75
"110011 JARU";42
"110012 JI-PARANA";53
"110013 MACHADINHO D'OESTE";24
"110014 NOVA BRASILANDIA D'OESTE";14
"110015 OURO PRETO DO OESTE";30
"110018 PIMENTA BUENO";27
"110020 PORTO VELHO";494
"110025 PRESIDENTE MEDICI";12
"110026 RIO CRESPO";1
"110028 ROLIM DE MOURA";34
"110029 SANTA LUZIA D'OESTE";6
"110030 VILHENA";63
"110032 SAO MIGUEL DO GUAPORE";17
"110033 NOVA MAMORE";29
"110034 ALVORADA D'OESTE";12
"110037 ALTO ALEGRE DOS PARECIS";13
"110040 ALTO PARAISO";15
"110045 BURITIS";35
"110050 NOVO HORIZONTE DO OESTE";7
"110060 CACAULANDIA";3
"110070 CAMPO NOVO DE RONDONIA";9
"110080 CANDEIAS DO JAMARI";22
"110090 CASTANHEIRAS";2
"110092 CHUPINGUAIA";5
"110094 CUJUBIM";10
"110100 GOVERNADOR JORGE TEIXEIRA";6
"110110 ITAPUA DO OESTE";5
"110120 MINISTRO ANDREAZZA";4
"110130 MIRANTE DA SERRA";16
"110140 MONTE NEGRO";12
"110143 NOVA UNIAO";8
"110145 PARECIS";1
"110146 PIMENTEIRAS DO OESTE";4
"110147 PRIMAVERA DE RONDONIA";1
"110148 SAO FELIPE D'OESTE";3
"110149 SAO FRANCISCO DO GUAPORE";25
"110150 SERINGUEIRAS";20
"110155 TEIXEIROPOLIS";-
"110160 THEOBROMA";3
"110170 URUPA";4
"110175 VALE DO ANARI";9
"110180 VALE DO PARAISO";-
" MUNICIPIO IGNORADO - AC";-
"120001 ACRELANDIA";12
"120005 ASSIS BRASIL";15
"120010 BRASILEIA";36
"120013 BUJARI";7
"120017 CAPIXABA";18
"120020 CRUZEIRO DO SUL";101
"120025 EPITACIOLANDIA";13
"120030 FEIJO";39
"120032 JORDAO";27
"120033 MANCIO LIMA";35
"120034 MANOEL URBANO";10
"120035 MARECHAL THAUMATURGO";27
"120038 PLACIDO DE CASTRO";27
"120039 PORTO WALTER";35
"120040 RIO BRANCO";302
"120042 RODRIGUES ALVES";27
"120043 SANTA ROSA DO PURUS";11
"120045 SENADOR GUIOMARD";16
"120050 SENA MADUREIRA";76
"120060 TARAUACA";83
"120070 XAPURI";21
"120080 PORTO ACRE";17
" MUNICIPIO IGNORADO - AM";-
"130002 ALVARAES";17
"130006 AMATURA";5
"130008 ANAMA";13
"130010 ANORI";23
"130014 APUI";13
"130020 ATALAIA DO NORTE";15
"130030 AUTAZES";48
"130040 BARCELOS";7
"130050 BARREIRINHA";61
"130060 BENJAMIN CONSTANT";51
"130063 BERURI";25
"130068 BOA VISTA DO RAMOS";28
"130070 BOCA DO ACRE";52
"130080 BORBA";38
"130083 CAAPIRANGA";15
"130090 CANUTAMA";10
"130100 CARAUARI";55
"130110 CAREIRO";45
"130115 CAREIRO DA VARZEA";10
"130120 COARI";103
"130130 CODAJAS";32
"130140 EIRUNEPE";32
"130150 ENVIRA";6
"130160 FONTE BOA";23
"130165 GUAJARA";28
"130170 HUMAITA";49
"130180 IPIXUNA";37
"130185 IRANDUBA";79
"130190 ITACOATIARA";148
"130195 ITAMARATI";18
"130200 ITAPIRANGA";12
"130210 JAPURA";8
"130220 JURUA";13
"130230 JUTAI";15
"130240 LABREA";41
"130250 MANACAPURU";84
"130255 MANAQUIRI";14
"130260 MANAUS";2409
"130270 MANICORE";69
"130280 MARAA";23
