 Nascidos vivos - Brasil
Nascim p/resid.mãe por Município
Anomalia congênita: Sim
Período:2010
"Município";"Nascim_p/resid.mãe"
" MUNICIPIO IGNORADO - RO";-
"110001 ALTA FLORESTA D'OESTE";3
"110002 ARIQUEMES";7
"110003 CABIXI";-
"110004 CACOAL";12
"110005 CEREJEIRAS";1
"110006 COLORADO DO OESTE";-
"110007 CORUMBIARA";1
"110008 COSTA MARQUES";-
"110009 ESPIGAO D'OESTE";4
"110010 GUAJARA-MIRIM";3
"110011 JARU";3
"110012 JI-PARANA";4
"110013 MACHADINHO D'OESTE";1
"110014 NOVA BRASILANDIA D'OESTE";4
"110015 OURO PRETO DO OESTE";1
"110018 PIMENTA BUENO";5
"110020 PORTO VELHO";62
"110025 PRESIDENTE MEDICI";1
"110026 RIO CRESPO";-
"110028 ROLIM DE MOURA";1
"110029 SANTA LUZIA D'OESTE";-
"110030 VILHENA";4
"110032 SAO MIGUEL DO GUAPORE";1
"110033 NOVA MAMORE";2
"110034 ALVORADA D'OESTE";-
"110037 ALTO ALEGRE DOS PARECIS";1
"110040 ALTO PARAISO";2
"110045 BURITIS";2
"110050 NOVO HORIZONTE DO OESTE";-
"110060 CACAULANDIA";-
"110070 CAMPO NOVO DE RONDONIA";2
"110080 CANDEIAS DO JAMARI";3
"110090 CASTANHEIRAS";-
"110092 CHUPINGUAIA";-
"110094 CUJUBIM";1
"110100 GOVERNADOR JORGE TEIXEIRA";-
"110110 ITAPUA DO OESTE";-
"110120 MINISTRO ANDREAZZA";-
"110130 MIRANTE DA SERRA";-
"110140 MONTE NEGRO";1
"110143 NOVA UNIAO";1
"110145 PARECIS";-
"110146 PIMENTEIRAS DO OESTE";1
"110147 PRIMAVERA DE RONDONIA";-
"110148 SAO FELIPE D'OESTE";1
"110149 SAO FRANCISCO DO GUAPORE";1
"110150 SERINGUEIRAS";1
"110155 TEIXEIROPOLIS";-
"110160 THEOBROMA";-
"110170 URUPA";1
"110175 VALE DO ANARI";-
"110180 VALE DO PARAISO";-
" MUNICIPIO IGNORADO - AC";-
"120001 ACRELANDIA";-
"120005 ASSIS BRASIL";1
"120010 BRASILEIA";3
"120013 BUJARI";1
"120017 CAPIXABA";1
"120020 CRUZEIRO DO SUL";5
"120025 EPITACIOLANDIA";1
"120030 FEIJO";4
"120032 JORDAO";8
"120033 MANCIO LIMA";2
"120034 MANOEL URBANO";-
"120035 MARECHAL THAUMATURGO";1
"120038 PLACIDO DE CASTRO";-
"120039 PORTO WALTER";1
"120040 RIO BRANCO";10
"120042 RODRIGUES ALVES";1
"120043 SANTA ROSA DO PURUS";1
"120045 SENADOR GUIOMARD";1
"120050 SENA MADUREIRA";-
"120060 TARAUACA";2
"120070 XAPURI";3
"120080 PORTO ACRE";-
" MUNICIPIO IGNORADO - AM";-
"130002 ALVARAES";-
"130006 AMATURA";3
"130008 ANAMA";-
"130010 ANORI";-
"130014 APUI";-
"130020 ATALAIA DO NORTE";1
"130030 AUTAZES";3
"130040 BARCELOS";1
"130050 BARREIRINHA";2
"130060 BENJAMIN CONSTANT";-
"130063 BERURI";-
"130068 BOA VISTA DO RAMOS";-
"130070 BOCA DO ACRE";1
"130080 BORBA";7
"130083 CAAPIRANGA";1
"130090 CANUTAMA";-
"130100 CARAUARI";-
"130110 CAREIRO";2
"130115 CAREIRO DA VARZEA";2
"130120 COARI";8
"130130 CODAJAS";4
"130140 EIRUNEPE";12
"130150 ENVIRA";1
"130160 FONTE BOA";3
"130165 GUAJARA";1
"130170 HUMAITA";2
"130180 IPIXUNA";-
"130185 IRANDUBA";8
"130190 ITACOATIARA";1
"130195 ITAMARATI";-
"130200 ITAPIRANGA";-
"130210 JAPURA";-
"130220 JURUA";-
"130230 JUTAI";1
"130240 LABREA";1
"130250 MANACAPURU";19
"130255 MANAQUIRI";2
"130260 MANAUS";338
"130270 MANICORE";4
"130280 MARAA";1
"130290 MAUES";4
"130300 NHAMUNDA";-
"130310 NOVA OLINDA DO NORTE";3
"130320 NOVO AIRAO";1
"130330 NOVO ARIPUANA";1
"130340 PARINTINS";15
"130350 PAUINI";-
"130353 PRESIDENTE FIGUEIREDO";4
"130356 RIO PRETO DA EVA";6
"130360 SANTA ISABEL DO RIO NEGRO";2
"130370 SANTO ANTONIO DO ICA";5
"130380 SAO GABRIEL DA CACHOEIRA";5
"130390 SAO PAULO DE OLIVENCA";3
"130395 SAO SEBASTIAO DO UATUMA";2
"130400 SILVES";1
"130406 TABATINGA";6
"130410 TAPAUA";2
"130420 TEFE";4
"130423 TONANTINS";2
"130426 UARINI";1
"130430 URUCARA";1
"130440 URUCURITUBA";-
" MUNICIPIO IGNORADO - RR";-
"140002 AMAJARI";-
"140005 ALTO ALEGRE";3
"140010 BOA VISTA";41
"140015 BONFIM";-
"140017 CANTA";4
"140020 CARACARAI";2
"140023 CAROEBE";-
"140028 IRACEMA";1
"140030 MUCAJAI";-
"140040 NORMANDIA";4
"140045 PACARAIMA";2
"140047 RORAINOPOLIS";3
"140050 SAO JOAO DA BALIZA";2
"140060 SAO LUIZ";-
"140070 UIRAMUTA";5
" MUNICIPIO IGNORADO - PA";-
"150010 ABAETETUBA";9
"150013 ABEL FIGUEIREDO";1
"150020 ACARA";2
"150030 AFUA";7
"150034 AGUA AZUL DO NORTE";-
"150040 ALENQUER";9
"150050 ALMEIRIM";8
