"Munic�pio";"Taxa_de_analfabetismo";"2010"
" MUNICIPIO IGNORADO - RO";...
"110001 ALTA FLORESTA D'OESTE";12,1
"110002 ARIQUEMES";8,6
"110003 CABIXI";16,7
"110004 CACOAL";8,9
"110005 CEREJEIRAS";11,3
"110006 COLORADO DO OESTE";13,3
"110007 CORUMBIARA";12,8
"110008 COSTA MARQUES";9,4
"110009 ESPIGAO D'OESTE";9,6
"110010 GUAJARA-MIRIM";9,8
"110011 JARU";11,2
"110012 JI-PARANA";8,1
"110013 MACHADINHO D'OESTE";12,3
"110014 NOVA BRASILANDIA D'OESTE";11,9
"110015 OURO PRETO DO OESTE";9,9
"110018 PIMENTA BUENO";9,1
"110020 PORTO VELHO";5,3
"110025 PRESIDENTE MEDICI";11,4
"110026 RIO CRESPO";9,1
"110028 ROLIM DE MOURA";9,7
"110029 SANTA LUZIA D'OESTE";12,2
"110030 VILHENA";7,2
"110032 SAO MIGUEL DO GUAPORE";10,2
"110033 NOVA MAMORE";12,8
"110034 ALVORADA D'OESTE";14,4
"110037 ALTO ALEGRE DOS PARECIS";13,1
"110040 ALTO PARAISO";14,4
"110045 BURITIS";10,5
"110050 NOVO HORIZONTE DO OESTE";15,3
"110060 CACAULANDIA";13,5
"110070 CAMPO NOVO DE RONDONIA";11,5
"110080 CANDEIAS DO JAMARI";11,3
"110090 CASTANHEIRAS";13,4
"110092 CHUPINGUAIA";10,6
"110094 CUJUBIM";13,3
"110100 GOVERNADOR JORGE TEIXEIRA";15,3
"110110 ITAPUA DO OESTE";13,7
"110120 MINISTRO ANDREAZZA";13,1
"110130 MIRANTE DA SERRA";12,8
"110140 MONTE NEGRO";14,2
"110143 NOVA UNIAO";14,0
"110145 PARECIS";14,7
"110146 PIMENTEIRAS DO OESTE";8,5
"110147 PRIMAVERA DE RONDONIA";14,2
"110148 SAO FELIPE D'OESTE";17,4
"110149 SAO FRANCISCO DO GUAPORE";9,4
"110150 SERINGUEIRAS";12,2
"110155 TEIXEIROPOLIS";12,1
"110160 THEOBROMA";14,2
"110170 URUPA";15,3
"110175 VALE DO ANARI";16,5
"110180 VALE DO PARAISO";11,0
" MUNICIPIO IGNORADO - AC";...
"120001 ACRELANDIA";15,7
"120005 ASSIS BRASIL";19,7
"120010 BRASILEIA";18,9
"120013 BUJARI";22,5
"120017 CAPIXABA";20,2
"120020 CRUZEIRO DO SUL";17,2
"120025 EPITACIOLANDIA";15,7
"120030 FEIJO";35,5
"120032 JORDAO";27,0
"120033 MANCIO LIMA";18,6
"120034 MANOEL URBANO";30,5
"120035 MARECHAL THAUMATURGO";32,0
"120038 PLACIDO DE CASTRO";18,5
"120039 PORTO WALTER";31,0
"120040 RIO BRANCO";8,4
"120042 RODRIGUES ALVES";27,9
"120043 SANTA ROSA DO PURUS";38,4
"120045 SENADOR GUIOMARD";17,1
"120050 SENA MADUREIRA";21,5
"120060 TARAUACA";30,7
"120070 XAPURI";19,6
"120080 PORTO ACRE";19,6
" MUNICIPIO IGNORADO - AM";...
"130002 ALVARAES";27,8
"130006 AMATURA";27,6
"130008 ANAMA";14,8
"130010 ANORI";15,6
"130014 APUI";9,9
"130020 ATALAIA DO NORTE";42,1
"130030 AUTAZES";14,9
"130040 BARCELOS";24,7
"130050 BARREIRINHA";10,7
"130060 BENJAMIN CONSTANT";22,6
"130063 BERURI";24,8
"130068 BOA VISTA DO RAMOS";5,9
"130070 BOCA DO ACRE";23,8
"130080 BORBA";15,2
"130083 CAAPIRANGA";12,5
"130090 CANUTAMA";26,3
"130100 CARAUARI";27,3
"130110 CAREIRO";10,8
"130115 CAREIRO DA VARZEA";17,3
"130120 COARI";17,2
"130130 CODAJAS";17,4
"130140 EIRUNEPE";27,6
"130150 ENVIRA";33,0
"130160 FONTE BOA";26,9
"130165 GUAJARA";30,3
"130170 HUMAITA";16,0
"130180 IPIXUNA";37,5
"130185 IRANDUBA";11,6
"130190 ITACOATIARA";8,5
"130195 ITAMARATI";38,6
"130200 ITAPIRANGA";6,6
"130210 JAPURA";30,3
"130220 JURUA";30,3
"130230 JUTAI";31,1
"130240 LABREA";29,2
"130250 MANACAPURU";13,9
