 Nascidos vivos - Brasil
Nascim p/resid.mãe por Município
Duração gestação: De 22 a 27 semanas, De 28 a 31 semanas
Período:2010
"Município";"Nascim_p/resid.mãe"
" MUNICIPIO IGNORADO - RO";-
"110001 ALTA FLORESTA D'OESTE";3
"110002 ARIQUEMES";12
"110003 CABIXI";-
"110004 CACOAL";14
"110005 CEREJEIRAS";1
"110006 COLORADO DO OESTE";2
"110007 CORUMBIARA";1
"110008 COSTA MARQUES";4
"110009 ESPIGAO D'OESTE";5
"110010 GUAJARA-MIRIM";8
"110011 JARU";9
"110012 JI-PARANA";18
"110013 MACHADINHO D'OESTE";1
"110014 NOVA BRASILANDIA D'OESTE";4
"110015 OURO PRETO DO OESTE";6
"110018 PIMENTA BUENO";6
"110020 PORTO VELHO";110
"110025 PRESIDENTE MEDICI";2
"110026 RIO CRESPO";-
"110028 ROLIM DE MOURA";4
"110029 SANTA LUZIA D'OESTE";2
"110030 VILHENA";16
"110032 SAO MIGUEL DO GUAPORE";2
"110033 NOVA MAMORE";5
"110034 ALVORADA D'OESTE";2
"110037 ALTO ALEGRE DOS PARECIS";3
"110040 ALTO PARAISO";6
"110045 BURITIS";4
"110050 NOVO HORIZONTE DO OESTE";-
"110060 CACAULANDIA";-
"110070 CAMPO NOVO DE RONDONIA";2
"110080 CANDEIAS DO JAMARI";5
"110090 CASTANHEIRAS";-
"110092 CHUPINGUAIA";-
"110094 CUJUBIM";3
"110100 GOVERNADOR JORGE TEIXEIRA";-
"110110 ITAPUA DO OESTE";1
"110120 MINISTRO ANDREAZZA";1
"110130 MIRANTE DA SERRA";6
"110140 MONTE NEGRO";2
"110143 NOVA UNIAO";-
"110145 PARECIS";-
"110146 PIMENTEIRAS DO OESTE";2
"110147 PRIMAVERA DE RONDONIA";-
"110148 SAO FELIPE D'OESTE";-
"110149 SAO FRANCISCO DO GUAPORE";-
"110150 SERINGUEIRAS";1
"110155 TEIXEIROPOLIS";-
"110160 THEOBROMA";-
"110170 URUPA";-
"110175 VALE DO ANARI";1
"110180 VALE DO PARAISO";2
" MUNICIPIO IGNORADO - AC";-
"120001 ACRELANDIA";2
"120005 ASSIS BRASIL";2
"120010 BRASILEIA";1
"120013 BUJARI";2
"120017 CAPIXABA";3
"120020 CRUZEIRO DO SUL";16
"120025 EPITACIOLANDIA";2
"120030 FEIJO";12
"120032 JORDAO";1
"120033 MANCIO LIMA";3
"120034 MANOEL URBANO";-
"120035 MARECHAL THAUMATURGO";-
"120038 PLACIDO DE CASTRO";3
"120039 PORTO WALTER";-
"120040 RIO BRANCO";63
"120042 RODRIGUES ALVES";3
"120043 SANTA ROSA DO PURUS";3
"120045 SENADOR GUIOMARD";4
"120050 SENA MADUREIRA";8
"120060 TARAUACA";5
"120070 XAPURI";7
"120080 PORTO ACRE";3
" MUNICIPIO IGNORADO - AM";-
"130002 ALVARAES";2
"130006 AMATURA";-
"130008 ANAMA";1
"130010 ANORI";-
"130014 APUI";2
"130020 ATALAIA DO NORTE";-
"130030 AUTAZES";6
"130040 BARCELOS";1
"130050 BARREIRINHA";-
"130060 BENJAMIN CONSTANT";11
"130063 BERURI";3
"130068 BOA VISTA DO RAMOS";4
"130070 BOCA DO ACRE";3
"130080 BORBA";3
"130083 CAAPIRANGA";2
"130090 CANUTAMA";2
"130100 CARAUARI";3
"130110 CAREIRO";3
"130115 CAREIRO DA VARZEA";6
"130120 COARI";12
"130130 CODAJAS";3
"130140 EIRUNEPE";14
"130150 ENVIRA";2
"130160 FONTE BOA";1
"130165 GUAJARA";-
"130170 HUMAITA";3
"130180 IPIXUNA";3
"130185 IRANDUBA";4
"130190 ITACOATIARA";15
"130195 ITAMARATI";-
"130200 ITAPIRANGA";-
"130210 JAPURA";-
"130220 JURUA";-
"130230 JUTAI";1
"130240 LABREA";5
"130250 MANACAPURU";10
"130255 MANAQUIRI";2
"130260 MANAUS";400
"130270 MANICORE";2
"130280 MARAA";4
"130290 MAUES";5
"130300 NHAMUNDA";2
"130310 NOVA OLINDA DO NORTE";4
"130320 NOVO AIRAO";4
"130330 NOVO ARIPUANA";3
"130340 PARINTINS";8
"130350 PAUINI";3
"130353 PRESIDENTE FIGUEIREDO";4
"130356 RIO PRETO DA EVA";3
"130360 SANTA ISABEL DO RIO NEGRO";-
"130370 SANTO ANTONIO DO ICA";4
"130380 SAO GABRIEL DA CACHOEIRA";3
"130390 SAO PAULO DE OLIVENCA";4
"130395 SAO SEBASTIAO DO UATUMA";-
"130400 SILVES";1
"130406 TABATINGA";7
"130410 TAPAUA";2
"130420 TEFE";10
"130423 TONANTINS";1
"130426 UARINI";1
"130430 URUCARA";1
"130440 URUCURITUBA";-
" MUNICIPIO IGNORADO - RR";-
"140002 AMAJARI";2
"140005 ALTO ALEGRE";4
"140010 BOA VISTA";51
"140015 BONFIM";4
"140017 CANTA";1
"140020 CARACARAI";1
"140023 CAROEBE";1
"140028 IRACEMA";2
"140030 MUCAJAI";2
"140040 NORMANDIA";-
"140045 PACARAIMA";2
"140047 RORAINOPOLIS";8
"140050 SAO JOAO DA BALIZA";1
"140060 SAO LUIZ";1
"140070 UIRAMUTA";-
" MUNICIPIO IGNORADO - PA";-
"150010 ABAETETUBA";15
"150013 ABEL FIGUEIREDO";1
"150020 ACARA";5
"150030 AFUA";8
"150034 AGUA AZUL DO NORTE";4
"150040 ALENQUER";12
