Domicílios com rede de esgoto e/ou fossa séptica (Censo IBGE - Sidra)
Sigla,Código,Município,2010,
AC,1200013,Acrelândia,11.7,
AC,1200054,Assis Brasil,24.82,
AC,1200104,Brasiléia,29.63,
AC,1200138,Bujari,19.35,
AC,1200179,Capixaba,34,
AC,1200203,Cruzeiro do Sul,13.9,
AC,1200252,Epitaciolândia,21.2,
AC,1200302,Feijó,10.3,
AC,1200328,Jordão,5.3,
AC,1200336,Mâncio Lima,6.75,
AC,1200344,Manoel Urbano,12.92,
AC,1200351,Marechal Thaumaturgo,8.36,
AC,1200385,Plácido de Castro,14.63,
AC,1200393,Porto Walter,0.71,
AC,1200401,Rio Branco,57.97,
AC,1200427,Rodrigues Alves,9.23,
AC,1200435,Santa Rosa do Purus,4.78,
AC,1200450,Senador Guiomard,24.13,
AC,1200500,Sena Madureira,13.29,
AC,1200609,Tarauacá,10.93,
AC,1200708,Xapuri,29.33,
AC,1200807,Porto Acre,11.96,
AL,2700102,Água Branca,29.88,
AL,2700201,Anadia,19.07,
AL,2700300,Arapiraca,19.21,
AL,2700409,Atalaia,24.29,
AL,2700508,Barra de Santo Antônio,23.61,
AL,2700607,Barra de São Miguel,53.92,
AL,2700706,Batalha,21.48,
AL,2700805,Belém,18.27,
AL,2700904,Belo Monte,35.71,
AL,2701001,Boca da Mata,66.35,
AL,2701100,Branquinha,36.64,
AL,2701209,Cacimbinhas,0.27,
AL,2701308,Cajueiro,9.81,
AL,2701357,Campestre,57.2,
AL,2701407,Campo Alegre,23.32,
AL,2701506,Campo Grande,7.61,
AL,2701605,Canapi,6.11,
AL,2701704,Capela,56.43,
AL,2701803,Carneiros,0.24,
AL,2701902,Chã Preta,6.11,
AL,2702009,Coité do Nóia,1.75,
AL,2702108,Colônia Leopoldina,68.18,
AL,2702207,Coqueiro Seco,15.02,
AL,2702306,Coruripe,16.68,
AL,2702355,Craíbas,7.46,
AL,2702405,Delmiro Gouveia,73.93,
AL,2702504,Dois Riachos,0.82,
AL,2702553,Estrela de Alagoas,6.35,
AL,2702603,Feira Grande,7.74,
AL,2702702,Feliz Deserto,1.5,
AL,2702801,Flexeiras,57.05,
AL,2702900,Girau do Ponciano,2.43,
AL,2703007,Ibateguara,58.86,
AL,2703106,Igaci,6.06,
AL,2703205,Igreja Nova,6.95,
AL,2703304,Inhapi,13.79,
AL,2703403,Jacaré dos Homens,6.43,
AL,2703502,Jacuípe,26.77,
AL,2703601,Japaratinga,12.04,
AL,2703700,Jaramataia,1.29,
AL,2703759,Jequiá da Praia,2.05,
AL,2703809,Joaquim Gomes,15.69,
AL,2703908,Jundiá,4.18,
AL,2704005,Junqueiro,1.15,
AL,2704104,Lagoa da Canoa,5.3,
AL,2704203,Limoeiro de Anadia,11.6,
AL,2704302,Maceió,48.42,
AL,2704401,Major Isidoro,23.97,
AL,2704500,Maragogi,38.24,
AL,2704609,Maravilha,13.61,
AL,2704708,Marechal Deodoro,28.39,
