 Nascidos vivos - Brasil
Nascim p/resid.mãe por Município
Consult pré-natal: De 4 a 6 consultas
Período:2010
"Município";"Nascim_p/resid.mãe"
" MUNICIPIO IGNORADO - RO";-
"110001 ALTA FLORESTA D'OESTE";196
"110002 ARIQUEMES";605
"110003 CABIXI";44
"110004 CACOAL";402
"110005 CEREJEIRAS";60
"110006 COLORADO DO OESTE";75
"110007 CORUMBIARA";29
"110008 COSTA MARQUES";82
"110009 ESPIGAO D'OESTE";205
"110010 GUAJARA-MIRIM";115
"110011 JARU";475
"110012 JI-PARANA";725
"110013 MACHADINHO D'OESTE";231
"110014 NOVA BRASILANDIA D'OESTE";219
"110015 OURO PRETO DO OESTE";182
"110018 PIMENTA BUENO";221
"110020 PORTO VELHO";2689
"110025 PRESIDENTE MEDICI";74
"110026 RIO CRESPO";9
"110028 ROLIM DE MOURA";552
"110029 SANTA LUZIA D'OESTE";70
"110030 VILHENA";57
"110032 SAO MIGUEL DO GUAPORE";123
"110033 NOVA MAMORE";179
"110034 ALVORADA D'OESTE";124
"110037 ALTO ALEGRE DOS PARECIS";140
"110040 ALTO PARAISO";100
"110045 BURITIS";143
"110050 NOVO HORIZONTE DO OESTE";108
"110060 CACAULANDIA";24
"110070 CAMPO NOVO DE RONDONIA";57
"110080 CANDEIAS DO JAMARI";143
"110090 CASTANHEIRAS";34
"110092 CHUPINGUAIA";5
"110094 CUJUBIM";88
"110100 GOVERNADOR JORGE TEIXEIRA";111
"110110 ITAPUA DO OESTE";36
"110120 MINISTRO ANDREAZZA";37
"110130 MIRANTE DA SERRA";42
"110140 MONTE NEGRO";82
"110143 NOVA UNIAO";27
"110145 PARECIS";40
"110146 PIMENTEIRAS DO OESTE";12
"110147 PRIMAVERA DE RONDONIA";20
"110148 SAO FELIPE D'OESTE";24
"110149 SAO FRANCISCO DO GUAPORE";92
"110150 SERINGUEIRAS";71
"110155 TEIXEIROPOLIS";19
"110160 THEOBROMA";89
"110170 URUPA";51
"110175 VALE DO ANARI";46
"110180 VALE DO PARAISO";27
" MUNICIPIO IGNORADO - AC";-
"120001 ACRELANDIA";94
"120005 ASSIS BRASIL";79
"120010 BRASILEIA";226
"120013 BUJARI";78
"120017 CAPIXABA";94
"120020 CRUZEIRO DO SUL";575
"120025 EPITACIOLANDIA";113
"120030 FEIJO";209
"120032 JORDAO";71
"120033 MANCIO LIMA";175
"120034 MANOEL URBANO";92
"120035 MARECHAL THAUMATURGO";172
"120038 PLACIDO DE CASTRO";122
"120039 PORTO WALTER";99
"120040 RIO BRANCO";2577
"120042 RODRIGUES ALVES";150
"120043 SANTA ROSA DO PURUS";40
"120045 SENADOR GUIOMARD";166
"120050 SENA MADUREIRA";340
"120060 TARAUACA";426
"120070 XAPURI";126
"120080 PORTO ACRE";129
" MUNICIPIO IGNORADO - AM";1
"130002 ALVARAES";129
"130006 AMATURA";112
"130008 ANAMA";95
"130010 ANORI";100
"130014 APUI";64
"130020 ATALAIA DO NORTE";101
"130030 AUTAZES";367
"130040 BARCELOS";107
"130050 BARREIRINHA";275
"130060 BENJAMIN CONSTANT";699
"130063 BERURI";163
"130068 BOA VISTA DO RAMOS";188
"130070 BOCA DO ACRE";292
"130080 BORBA";359
"130083 CAAPIRANGA";84
"130090 CANUTAMA";76
"130100 CARAUARI";169
"130110 CAREIRO";172
"130115 CAREIRO DA VARZEA";106
"130120 COARI";645
"130130 CODAJAS";227
"130140 EIRUNEPE";275
"130150 ENVIRA";137
"130160 FONTE BOA";198
"130165 GUAJARA";139
"130170 HUMAITA";217
"130180 IPIXUNA";158
"130185 IRANDUBA";257
"130190 ITACOATIARA";785
"130195 ITAMARATI";25
"130200 ITAPIRANGA";67
"130210 JAPURA";56
"130220 JURUA";81
"130230 JUTAI";161
"130240 LABREA";389
"130250 MANACAPURU";804
"130255 MANAQUIRI";76
"130260 MANAUS";16294
"130270 MANICORE";350
"130280 MARAA";117
"130290 MAUES";400
"130300 NHAMUNDA";152
"130310 NOVA OLINDA DO NORTE";321
"130320 NOVO AIRAO";123
"130330 NOVO ARIPUANA";162
"130340 PARINTINS";1000
"130350 PAUINI";191
"130353 PRESIDENTE FIGUEIREDO";176
"130356 RIO PRETO DA EVA";186
"130360 SANTA ISABEL DO RIO NEGRO";127
"130370 SANTO ANTONIO DO ICA";148
"130380 SAO GABRIEL DA CACHOEIRA";222
"130390 SAO PAULO DE OLIVENCA";71
"130395 SAO SEBASTIAO DO UATUMA";48
"130400 SILVES";101
"130406 TABATINGA";510
"130410 TAPAUA";157
"130420 TEFE";852
"130423 TONANTINS";117
"130426 UARINI";166
"130430 URUCARA";107
"130440 URUCURITUBA";187
" MUNICIPIO IGNORADO - RR";-
"140002 AMAJARI";106
"140005 ALTO ALEGRE";197
"140010 BOA VISTA";2217
"140015 BONFIM";95
"140017 CANTA";120
"140020 CARACARAI";176
"140023 CAROEBE";73
"140028 IRACEMA";75
"140030 MUCAJAI";142
"140040 NORMANDIA";90
"140045 PACARAIMA";115
"140047 RORAINOPOLIS";163
"140050 SAO JOAO DA BALIZA";61
"140060 SAO LUIZ";40
"140070 UIRAMUTA";87
" MUNICIPIO IGNORADO - PA";1
"150010 ABAETETUBA";1526
"150013 ABEL FIGUEIREDO";71
"150020 ACARA";447
"150030 AFUA";248
"150034 AGUA AZUL DO NORTE";89
"150040 ALENQUER";545
"150050 ALMEIRIM";319
"150060 ALTAMIRA";969
"150070 ANAJAS";283
"150080 ANANINDEUA";3798
"150085 ANAPU";222
"150090 AUGUSTO CORREA";628
"150095 AURORA DO PARA";238
"150100 AVEIRO";122
"150110 BAGRE";244
"150120 BAIAO";307
"150125 BANNACH";18
"150130 BARCARENA";729
"150140 BELEM";5629
"150145 BELTERRA";111
"150150 BENEVIDES";554
"150157 BOM JESUS DO TOCANTINS";140
"150160 BONITO";148
"150170 BRAGANCA";1149
"150172 BRASIL NOVO";107
"150175 BREJO GRANDE DO ARAGUAIA";92
"150178 BREU BRANCO";418
"150180 BREVES";869
"150190 BUJARU";341
"150195 CACHOEIRA DO PIRIA";191
"150200 CACHOEIRA DO ARARI";139
