 Nascidos vivos - Brasil
Nascim p/resid.mãe por Município
Consult pré-natal: 7 ou mais consultas
Período:2010
"Município";"Nascim_p/resid.mãe"
" MUNICIPIO IGNORADO - RO";-
"110001 ALTA FLORESTA D'OESTE";233
"110002 ARIQUEMES";893
"110003 CABIXI";44
"110004 CACOAL";695
"110005 CEREJEIRAS";171
"110006 COLORADO DO OESTE";185
"110007 CORUMBIARA";96
"110008 COSTA MARQUES";153
"110009 ESPIGAO D'OESTE";249
"110010 GUAJARA-MIRIM";11
"110011 JARU";296
"110012 JI-PARANA";636
"110013 MACHADINHO D'OESTE";204
"110014 NOVA BRASILANDIA D'OESTE";90
"110015 OURO PRETO DO OESTE";419
"110018 PIMENTA BUENO";353
"110020 PORTO VELHO";3709
"110025 PRESIDENTE MEDICI";88
"110026 RIO CRESPO";22
"110028 ROLIM DE MOURA";230
"110029 SANTA LUZIA D'OESTE";56
"110030 VILHENA";1203
"110032 SAO MIGUEL DO GUAPORE";118
"110033 NOVA MAMORE";132
"110034 ALVORADA D'OESTE";54
"110037 ALTO ALEGRE DOS PARECIS";53
"110040 ALTO PARAISO";156
"110045 BURITIS";476
"110050 NOVO HORIZONTE DO OESTE";36
"110060 CACAULANDIA";43
"110070 CAMPO NOVO DE RONDONIA";110
"110080 CANDEIAS DO JAMARI";156
"110090 CASTANHEIRAS";16
"110092 CHUPINGUAIA";111
"110094 CUJUBIM";90
"110100 GOVERNADOR JORGE TEIXEIRA";48
"110110 ITAPUA DO OESTE";66
"110120 MINISTRO ANDREAZZA";72
"110130 MIRANTE DA SERRA";141
"110140 MONTE NEGRO";127
"110143 NOVA UNIAO";74
"110145 PARECIS";28
"110146 PIMENTEIRAS DO OESTE";28
"110147 PRIMAVERA DE RONDONIA";24
"110148 SAO FELIPE D'OESTE";47
"110149 SAO FRANCISCO DO GUAPORE";149
"110150 SERINGUEIRAS";121
"110155 TEIXEIROPOLIS";29
"110160 THEOBROMA";40
"110170 URUPA";49
"110175 VALE DO ANARI";30
"110180 VALE DO PARAISO";62
" MUNICIPIO IGNORADO - AC";-
"120001 ACRELANDIA";107
"120005 ASSIS BRASIL";43
"120010 BRASILEIA";134
"120013 BUJARI";63
"120017 CAPIXABA";62
"120020 CRUZEIRO DO SUL";324
"120025 EPITACIOLANDIA";69
"120030 FEIJO";99
"120032 JORDAO";22
"120033 MANCIO LIMA";78
"120034 MANOEL URBANO";49
"120035 MARECHAL THAUMATURGO";65
"120038 PLACIDO DE CASTRO";169
"120039 PORTO WALTER";54
"120040 RIO BRANCO";2781
"120042 RODRIGUES ALVES";76
"120043 SANTA ROSA DO PURUS";24
"120045 SENADOR GUIOMARD";144
"120050 SENA MADUREIRA";277
"120060 TARAUACA";130
"120070 XAPURI";64
"120080 PORTO ACRE";133
" MUNICIPIO IGNORADO - AM";-
"130002 ALVARAES";68
"130006 AMATURA";31
"130008 ANAMA";44
"130010 ANORI";101
"130014 APUI";153
"130020 ATALAIA DO NORTE";40
"130030 AUTAZES";237
"130040 BARCELOS";43
"130050 BARREIRINHA";211
"130060 BENJAMIN CONSTANT";98
"130063 BERURI";81
"130068 BOA VISTA DO RAMOS";76
"130070 BOCA DO ACRE";118
"130080 BORBA";227
"130083 CAAPIRANGA";39
"130090 CANUTAMA";79
"130100 CARAUARI";316
"130110 CAREIRO";74
"130115 CAREIRO DA VARZEA";28
"130120 COARI";345
"130130 CODAJAS";101
"130140 EIRUNEPE";255
"130150 ENVIRA";40
"130160 FONTE BOA";132
"130165 GUAJARA";89
"130170 HUMAITA";404
"130180 IPIXUNA";198
"130185 IRANDUBA";380
"130190 ITACOATIARA";798
"130195 ITAMARATI";99
"130200 ITAPIRANGA";99
"130210 JAPURA";11
"130220 JURUA";38
"130230 JUTAI";61
"130240 LABREA";123
"130250 MANACAPURU";628
"130255 MANAQUIRI";81
"130260 MANAUS";13960
"130270 MANICORE";156
"130280 MARAA";90
"130290 MAUES";376
"130300 NHAMUNDA";57
"130310 NOVA OLINDA DO NORTE";150
"130320 NOVO AIRAO";47
"130330 NOVO ARIPUANA";45
"130340 PARINTINS";531
"130350 PAUINI";22
"130353 PRESIDENTE FIGUEIREDO";254
"130356 RIO PRETO DA EVA";123
"130360 SANTA ISABEL DO RIO NEGRO";55
"130370 SANTO ANTONIO DO ICA";268
"130380 SAO GABRIEL DA CACHOEIRA";121
"130390 SAO PAULO DE OLIVENCA";4
"130395 SAO SEBASTIAO DO UATUMA";103
"130400 SILVES";78
"130406 TABATINGA";380
"130410 TAPAUA";114
"130420 TEFE";405
"130423 TONANTINS";135
"130426 UARINI";54
"130430 URUCARA";148
"130440 URUCURITUBA";80
" MUNICIPIO IGNORADO - RR";-
"140002 AMAJARI";31
"140005 ALTO ALEGRE";83
"140010 BOA VISTA";2974
"140015 BONFIM";59
"140017 CANTA";66
"140020 CARACARAI";80
"140023 CAROEBE";83
"140028 IRACEMA";39
"140030 MUCAJAI";116
"140040 NORMANDIA";39
"140045 PACARAIMA";88
"140047 RORAINOPOLIS";136
"140050 SAO JOAO DA BALIZA";65
"140060 SAO LUIZ";35
"140070 UIRAMUTA";17
" MUNICIPIO IGNORADO - PA";-
"150010 ABAETETUBA";844
"150013 ABEL FIGUEIREDO";32
"150020 ACARA";133
"150030 AFUA";81
"150034 AGUA AZUL DO NORTE";56
"150040 ALENQUER";398
"150050 ALMEIRIM";179
"150060 ALTAMIRA";486
"150070 ANAJAS";54
"150080 ANANINDEUA";4722
"150085 ANAPU";90
"150090 AUGUSTO CORREA";216
"150095 AURORA DO PARA";109
"150100 AVEIRO";51
"150110 BAGRE";101
"150120 BAIAO";183
"150125 BANNACH";16
"150130 BARCARENA";995
"150140 BELEM";14650
"150145 BELTERRA";61
"150150 BENEVIDES";374
"150157 BOM JESUS DO TOCANTINS";80
"150160 BONITO";37
"150170 BRAGANCA";545
"150172 BRASIL NOVO";139
"150175 BREJO GRANDE DO ARAGUAIA";35
"150178 BREU BRANCO";209
"150180 BREVES";239
"150190 BUJARU";93
"150195 CACHOEIRA DO PIRIA";45
"150200 CACHOEIRA DO ARARI";51
"150210 CAMETA";673
"150215 CANAA DOS CARAJAS";367
"150220 CAPANEMA";286
"150230 CAPITAO POCO";136
"150240 CASTANHAL";1102
"150250 CHAVES";14
"150260 COLARES";42
"150270 CONCEICAO DO ARAGUAIA";273
"150275 CONCORDIA DO PARA";61
"150276 CUMARU DO NORTE";30
"150277 CURIONOPOLIS";199
"150280 CURRALINHO";138
"150285 CURUA";31
"150290 CURUCA";102
"150293 DOM ELISEU";125
"150295 ELDORADO DOS CARAJAS";65
"150300 FARO";31
"150304 FLORESTA DO ARAGUAIA";44
"150307 GARRAFAO DO NORTE";108
"150309 GOIANESIA DO PARA";58
"150310 GURUPA";113
"150320 IGARAPE-ACU";239
"150330 IGARAPE-MIRI";429
"150340 INHANGAPI";38
"150345 IPIXUNA DO PARA";152
"150350 IRITUIA";105
"150360 ITAITUBA";401
"150370 ITUPIRANGA";90
"150375 JACAREACANGA";32
"150380 JACUNDA";183
"150390 JURUTI";529
"150400 LIMOEIRO DO AJURU";98
"150405 MAE DO RIO";228
"150410 MAGALHAES BARATA";37
"150420 MARABA";1546
"150430 MARACANA";74
"150440 MARAPANIM";125
"150442 MARITUBA";554
"150445 MEDICILANDIA";102
"150450 MELGACO";225
"150460 MOCAJUBA";64
"150470 MOJU";351
"150475 MOJUI DOS CAMPOS";-
"150480 MONTE ALEGRE";279
"150490 MUANA";125
"150495 NOVA ESPERANCA DO PIRIA";90
"150497 NOVA IPIXUNA";69
"150500 NOVA TIMBOTEUA";36
"150503 NOVO PROGRESSO";119
"150506 NOVO REPARTIMENTO";120
"150510 OBIDOS";288
"150520 OEIRAS DO PARA";263
"150530 ORIXIMINA";597
"150540 OUREM";102
"150543 OURILANDIA DO NORTE";275
"150548 PACAJA";105
"150549 PALESTINA DO PARA";22
"150550 PARAGOMINAS";356
"150553 PARAUAPEBAS";2306
"150555 PAU D'ARCO";75
"150560 PEIXE-BOI";20
"150563 PICARRA";42
"150565 PLACAS";95
"150570 PONTA DE PEDRAS";135
"150580 PORTEL";103
"150590 PORTO DE MOZ";60
"150600 PRAINHA";172
"150610 PRIMAVERA";80
"150611 QUATIPURU";38
"150613 REDENCAO";433
"150616 RIO MARIA";242
"150618 RONDON DO PARA";103
"150619 RUROPOLIS";79
"150620 SALINOPOLIS";94
"150630 SALVATERRA";78
"150635 SANTA BARBARA DO PARA";100
"150640 SANTA CRUZ DO ARARI";16
"150650 SANTA IZABEL DO PARA";421
"150655 SANTA LUZIA DO PARA";87
"150658 SANTA MARIA DAS BARREIRAS";72
"150660 SANTA MARIA DO PARA";111
"150670 SANTANA DO ARAGUAIA";204
"150680 SANTAREM";2245
"150690 SANTAREM NOVO";32
"150700 SANTO ANTONIO DO TAUA";99
"150710 SAO CAETANO DE ODIVELAS";60
"150715 SAO DOMINGOS DO ARAGUAIA";23
"150720 SAO DOMINGOS DO CAPIM";155
"150730 SAO FELIX DO XINGU";225
"150740 SAO FRANCISCO DO PARA";65
"150745 SAO GERALDO DO ARAGUAIA";112
"150746 SAO JOAO DA PONTA";14
"150747 SAO JOAO DE PIRABAS";74
"150750 SAO JOAO DO ARAGUAIA";41
"150760 SAO MIGUEL DO GUAMA";251
"150770 SAO SEBASTIAO DA BOA VISTA";135
"150775 SAPUCAIA";35
"150780 SENADOR JOSE PORFIRIO";67
"150790 SOURE";125
"150795 TAILANDIA";519
"150796 TERRA ALTA";42
"150797 TERRA SANTA";96
"150800 TOME-ACU";209
"150803 TRACUATEUA";139
"150805 TRAIRAO";40
"150808 TUCUMA";188
"150810 TUCURUI";935
"150812 ULIANOPOLIS";186
"150815 URUARA";252
"150820 VIGIA";202
"150830 VISEU";100
"150835 VITORIA DO XINGU";42
"150840 XINGUARA";463
" MUNICIPIO IGNORADO - AP";-
"160005 SERRA DO NAVIO";26
"160010 AMAPA";27
"160015 PEDRA BRANCA DO AMAPARI";30
"160020 CALCOENE";50
"160021 CUTIAS";11
"160023 FERREIRA GOMES";22
"160025 ITAUBAL";10
"160027 LARANJAL DO JARI";277
"160030 MACAPA";3452
"160040 MAZAGAO";60
"160050 OIAPOQUE";94
"160053 PORTO GRANDE";61
"160055 PRACUUBA";8
"160060 SANTANA";662
"160070 TARTARUGALZINHO";24
"160080 VITORIA DO JARI";79
" MUNICIPIO IGNORADO - TO";1
"170025 ABREULANDIA";6
"170030 AGUIARNOPOLIS";40
"170035 ALIANCA DO TOCANTINS";48
"170040 ALMAS";70
"170070 ALVORADA";85
"170100 ANANAS";127
"170105 ANGICO";19
"170110 APARECIDA DO RIO NEGRO";36
"170130 ARAGOMINAS";28
"170190 ARAGUACEMA";49
"170200 ARAGUACU";64
"170210 ARAGUAINA";1765
"170215 ARAGUANA";55
"170220 ARAGUATINS";181
"170230 ARAPOEMA";61
"170240 ARRAIAS";52
"170255 AUGUSTINOPOLIS";150
"170270 AURORA DO TOCANTINS";13
"170290 AXIXA DO TOCANTINS";66
"170300 BABACULANDIA";52
"170305 BANDEIRANTES DO TOCANTINS";17
"170307 BARRA DO OURO";35
"170310 BARROLANDIA";31
"170320 BERNARDO SAYAO";35
"170330 BOM JESUS DO TOCANTINS";16
