 Nascidos vivos - Brasil
Nascim p/resid.mãe por Município
Idade da mãe: 10 a 14 anos, 15 a 19 anos
Período:2010
"Município";"Nascim_p/resid.mãe"
" MUNICIPIO IGNORADO - RO";-
"110001 ALTA FLORESTA D'OESTE";114
"110002 ARIQUEMES";426
"110003 CABIXI";24
"110004 CACOAL";233
"110005 CEREJEIRAS";56
"110006 COLORADO DO OESTE";52
"110007 CORUMBIARA";40
"110008 COSTA MARQUES";72
"110009 ESPIGAO D'OESTE";114
"110010 GUAJARA-MIRIM";231
"110011 JARU";174
"110012 JI-PARANA";306
"110013 MACHADINHO D'OESTE";140
"110014 NOVA BRASILANDIA D'OESTE";71
"110015 OURO PRETO DO OESTE";129
"110018 PIMENTA BUENO";147
"110020 PORTO VELHO";1808
"110025 PRESIDENTE MEDICI";42
"110026 RIO CRESPO";3
"110028 ROLIM DE MOURA";170
"110029 SANTA LUZIA D'OESTE";32
"110030 VILHENA";263
"110032 SAO MIGUEL DO GUAPORE";65
"110033 NOVA MAMORE";96
"110034 ALVORADA D'OESTE";30
"110037 ALTO ALEGRE DOS PARECIS";62
"110040 ALTO PARAISO";67
"110045 BURITIS";181
"110050 NOVO HORIZONTE DO OESTE";34
"110060 CACAULANDIA";11
"110070 CAMPO NOVO DE RONDONIA";55
"110080 CANDEIAS DO JAMARI";106
"110090 CASTANHEIRAS";12
"110092 CHUPINGUAIA";31
"110094 CUJUBIM";70
"110100 GOVERNADOR JORGE TEIXEIRA";44
"110110 ITAPUA DO OESTE";32
"110120 MINISTRO ANDREAZZA";30
"110130 MIRANTE DA SERRA";49
"110140 MONTE NEGRO";54
"110143 NOVA UNIAO";28
"110145 PARECIS";19
"110146 PIMENTEIRAS DO OESTE";2
"110147 PRIMAVERA DE RONDONIA";13
"110148 SAO FELIPE D'OESTE";14
"110149 SAO FRANCISCO DO GUAPORE";82
"110150 SERINGUEIRAS";59
"110155 TEIXEIROPOLIS";14
"110160 THEOBROMA";28
"110170 URUPA";19
"110175 VALE DO ANARI";25
"110180 VALE DO PARAISO";14
" MUNICIPIO IGNORADO - AC";-
"120001 ACRELANDIA";70
"120005 ASSIS BRASIL";68
"120010 BRASILEIA";117
"120013 BUJARI";63
"120017 CAPIXABA";65
"120020 CRUZEIRO DO SUL";421
"120025 EPITACIOLANDIA";69
"120030 FEIJO";287
"120032 JORDAO";89
"120033 MANCIO LIMA";106
"120034 MANOEL URBANO";60
"120035 MARECHAL THAUMATURGO";98
"120038 PLACIDO DE CASTRO";99
"120039 PORTO WALTER";76
"120040 RIO BRANCO";1586
"120042 RODRIGUES ALVES";117
"120043 SANTA ROSA DO PURUS";56
"120045 SENADOR GUIOMARD";103
"120050 SENA MADUREIRA";280
"120060 TARAUACA";366
"120070 XAPURI";113
"120080 PORTO ACRE";113
" MUNICIPIO IGNORADO - AM";-
"130002 ALVARAES";96
"130006 AMATURA";67
"130008 ANAMA";55
"130010 ANORI";93
"130014 APUI";70
"130020 ATALAIA DO NORTE";79
"130030 AUTAZES";242
"130040 BARCELOS";107
"130050 BARREIRINHA";181
"130060 BENJAMIN CONSTANT";277
"130063 BERURI";138
"130068 BOA VISTA DO RAMOS";119
"130070 BOCA DO ACRE";220
"130080 BORBA";257
"130083 CAAPIRANGA";60
"130090 CANUTAMA";65
"130100 CARAUARI";193
"130110 CAREIRO";118
"130115 CAREIRO DA VARZEA";62
"130120 COARI";533
"130130 CODAJAS";153
"130140 EIRUNEPE";275
"130150 ENVIRA";113
"130160 FONTE BOA";157
"130165 GUAJARA";88
"130170 HUMAITA";261
"130180 IPIXUNA";100
"130185 IRANDUBA";252
"130190 ITACOATIARA";570
"130195 ITAMARATI";78
"130200 ITAPIRANGA";53
"130210 JAPURA";45
"130220 JURUA";66
"130230 JUTAI";107
"130240 LABREA";263
"130250 MANACAPURU";616
"130255 MANAQUIRI";63
"130260 MANAUS";8599
"130270 MANICORE";243
"130280 MARAA";112
"130290 MAUES";372
"130300 NHAMUNDA";95
"130310 NOVA OLINDA DO NORTE";174
"130320 NOVO AIRAO";91
"130330 NOVO ARIPUANA";124
"130340 PARINTINS";560
"130350 PAUINI";85
"130353 PRESIDENTE FIGUEIREDO";147
"130356 RIO PRETO DA EVA";114
"130360 SANTA ISABEL DO RIO NEGRO";81
"130370 SANTO ANTONIO DO ICA";165
"130380 SAO GABRIEL DA CACHOEIRA";179
"130390 SAO PAULO DE OLIVENCA";188
"130395 SAO SEBASTIAO DO UATUMA";72
"130400 SILVES";72
"130406 TABATINGA";360
"130410 TAPAUA";158
"130420 TEFE";507
"130423 TONANTINS";86
"130426 UARINI";97
"130430 URUCARA";97
"130440 URUCURITUBA";112
" MUNICIPIO IGNORADO - RR";-
"140002 AMAJARI";68
"140005 ALTO ALEGRE";165
"140010 BOA VISTA";1340
"140015 BONFIM";71
"140017 CANTA";81
"140020 CARACARAI";118
"140023 CAROEBE";42
"140028 IRACEMA";54
"140030 MUCAJAI";98
"140040 NORMANDIA";95
"140045 PACARAIMA";78
"140047 RORAINOPOLIS";108
"140050 SAO JOAO DA BALIZA";41
"140060 SAO LUIZ";14
"140070 UIRAMUTA";70
" MUNICIPIO IGNORADO - PA";-
"150010 ABAETETUBA";681
"150013 ABEL FIGUEIREDO";30
"150020 ACARA";249
"150030 AFUA";216
"150034 AGUA AZUL DO NORTE";56
"150040 ALENQUER";326
"150050 ALMEIRIM";238
"150060 ALTAMIRA";591
"150070 ANAJAS";201
"150080 ANANINDEUA";1999
"150085 ANAPU";135
"150090 AUGUSTO CORREA";344
"150095 AURORA DO PARA";139
"150100 AVEIRO";74
"150110 BAGRE";182
"150120 BAIAO";169
"150125 BANNACH";14
"150130 BARCARENA";548
"150140 BELEM";4314
"150145 BELTERRA";50
"150150 BENEVIDES";279
"150157 BOM JESUS DO TOCANTINS";70
"150160 BONITO";60
"150170 BRAGANCA";662
"150172 BRASIL NOVO";86
"150175 BREJO GRANDE DO ARAGUAIA";47
"150178 BREU BRANCO";274
"150180 BREVES";537
"150190 BUJARU";150
"150195 CACHOEIRA DO PIRIA";117
"150200 CACHOEIRA DO ARARI";102
"150210 CAMETA";746
"150215 CANAA DOS CARAJAS";167
"150220 CAPANEMA";340
"150230 CAPITAO POCO";223
"150240 CASTANHAL";800
"150250 CHAVES";81
"150260 COLARES";47
"150270 CONCEICAO DO ARAGUAIA";233
"150275 CONCORDIA DO PARA";184
"150276 CUMARU DO NORTE";39
"150277 CURIONOPOLIS";114
"150280 CURRALINHO";198
"150285 CURUA";77
"150290 CURUCA";171
"150293 DOM ELISEU";208
"150295 ELDORADO DOS CARAJAS";216
"150300 FARO";60
"150304 FLORESTA DO ARAGUAIA";104
"150307 GARRAFAO DO NORTE";170
"150309 GOIANESIA DO PARA";227
"150310 GURUPA";168
"150320 IGARAPE-ACU";181
"150330 IGARAPE-MIRI";403
"150340 INHANGAPI";40
"150345 IPIXUNA DO PARA";219
"150350 IRITUIA";148
"150360 ITAITUBA";617
"150370 ITUPIRANGA";322
"150375 JACAREACANGA";108
"150380 JACUNDA";333
"150390 JURUTI";327
"150400 LIMOEIRO DO AJURU";163
"150405 MAE DO RIO";202
"150410 MAGALHAES BARATA";30
"150420 MARABA";1317
"150430 MARACANA";149
"150440 MARAPANIM";120
