 Nascidos vivos - Brasil
Nascim p/resid.mãe por Município
Instrução da mãe: Nenhuma
Período:2010
"Município";"Nascim_p/resid.mãe"
" MUNICIPIO IGNORADO - RO";-
"110001 ALTA FLORESTA D'OESTE";2
"110002 ARIQUEMES";4
"110003 CABIXI";-
"110004 CACOAL";9
"110005 CEREJEIRAS";1
"110006 COLORADO DO OESTE";-
"110007 CORUMBIARA";1
"110008 COSTA MARQUES";3
"110009 ESPIGAO D'OESTE";9
"110010 GUAJARA-MIRIM";7
"110011 JARU";8
"110012 JI-PARANA";20
"110013 MACHADINHO D'OESTE";6
"110014 NOVA BRASILANDIA D'OESTE";3
"110015 OURO PRETO DO OESTE";8
"110018 PIMENTA BUENO";1
"110020 PORTO VELHO";33
"110025 PRESIDENTE MEDICI";1
"110026 RIO CRESPO";-
"110028 ROLIM DE MOURA";3
"110029 SANTA LUZIA D'OESTE";-
"110030 VILHENA";3
"110032 SAO MIGUEL DO GUAPORE";-
"110033 NOVA MAMORE";7
"110034 ALVORADA D'OESTE";1
"110037 ALTO ALEGRE DOS PARECIS";1
"110040 ALTO PARAISO";3
"110045 BURITIS";4
"110050 NOVO HORIZONTE DO OESTE";-
"110060 CACAULANDIA";1
"110070 CAMPO NOVO DE RONDONIA";2
"110080 CANDEIAS DO JAMARI";1
"110090 CASTANHEIRAS";2
"110092 CHUPINGUAIA";2
"110094 CUJUBIM";3
"110100 GOVERNADOR JORGE TEIXEIRA";-
"110110 ITAPUA DO OESTE";1
"110120 MINISTRO ANDREAZZA";1
"110130 MIRANTE DA SERRA";3
"110140 MONTE NEGRO";6
"110143 NOVA UNIAO";1
"110145 PARECIS";1
"110146 PIMENTEIRAS DO OESTE";-
"110147 PRIMAVERA DE RONDONIA";-
"110148 SAO FELIPE D'OESTE";1
"110149 SAO FRANCISCO DO GUAPORE";2
"110150 SERINGUEIRAS";1
"110155 TEIXEIROPOLIS";-
"110160 THEOBROMA";1
"110170 URUPA";1
"110175 VALE DO ANARI";1
"110180 VALE DO PARAISO";2
" MUNICIPIO IGNORADO - AC";-
"120001 ACRELANDIA";8
"120005 ASSIS BRASIL";79
"120010 BRASILEIA";32
"120013 BUJARI";5
"120017 CAPIXABA";11
"120020 CRUZEIRO DO SUL";189
"120025 EPITACIOLANDIA";6
"120030 FEIJO";142
"120032 JORDAO";47
"120033 MANCIO LIMA";33
"120034 MANOEL URBANO";47
"120035 MARECHAL THAUMATURGO";83
"120038 PLACIDO DE CASTRO";13
