 Nascidos vivos - Brasil
Nascim p/resid.mãe por Município
Instrução da mãe: 12 anos e mais
Período:2010
"Município";"Nascim_p/resid.mãe"
" MUNICIPIO IGNORADO - RO";-
"110001 ALTA FLORESTA D'OESTE";26
"110002 ARIQUEMES";260
"110003 CABIXI";12
"110004 CACOAL";231
"110005 CEREJEIRAS";48
"110006 COLORADO DO OESTE";61
"110007 CORUMBIARA";11
"110008 COSTA MARQUES";19
"110009 ESPIGAO D'OESTE";90
"110010 GUAJARA-MIRIM";60
"110011 JARU";107
"110012 JI-PARANA";225
"110013 MACHADINHO D'OESTE";42
"110014 NOVA BRASILANDIA D'OESTE";39
"110015 OURO PRETO DO OESTE";108
"110018 PIMENTA BUENO";95
"110020 PORTO VELHO";1131
"110025 PRESIDENTE MEDICI";19
"110026 RIO CRESPO";7
"110028 ROLIM DE MOURA";135
"110029 SANTA LUZIA D'OESTE";27
"110030 VILHENA";220
"110032 SAO MIGUEL DO GUAPORE";34
"110033 NOVA MAMORE";42
"110034 ALVORADA D'OESTE";19
"110037 ALTO ALEGRE DOS PARECIS";13
"110040 ALTO PARAISO";29
"110045 BURITIS";101
"110050 NOVO HORIZONTE DO OESTE";12
"110060 CACAULANDIA";10
"110070 CAMPO NOVO DE RONDONIA";18
"110080 CANDEIAS DO JAMARI";17
"110090 CASTANHEIRAS";6
"110092 CHUPINGUAIA";12
"110094 CUJUBIM";15
"110100 GOVERNADOR JORGE TEIXEIRA";15
"110110 ITAPUA DO OESTE";12
"110120 MINISTRO ANDREAZZA";9
"110130 MIRANTE DA SERRA";14
"110140 MONTE NEGRO";25
"110143 NOVA UNIAO";8
"110145 PARECIS";11
"110146 PIMENTEIRAS DO OESTE";8
"110147 PRIMAVERA DE RONDONIA";4
"110148 SAO FELIPE D'OESTE";10
"110149 SAO FRANCISCO DO GUAPORE";19
"110150 SERINGUEIRAS";17
"110155 TEIXEIROPOLIS";6
"110160 THEOBROMA";18
"110170 URUPA";7
"110175 VALE DO ANARI";5
"110180 VALE DO PARAISO";11
" MUNICIPIO IGNORADO - AC";-
"120001 ACRELANDIA";15
"120005 ASSIS BRASIL";10
"120010 BRASILEIA";36
"120013 BUJARI";10
"120017 CAPIXABA";10
"120020 CRUZEIRO DO SUL";222
"120025 EPITACIOLANDIA";20
"120030 FEIJO";101
"120032 JORDAO";5
"120033 MANCIO LIMA";30
"120034 MANOEL URBANO";10
"120035 MARECHAL THAUMATURGO";25
"120038 PLACIDO DE CASTRO";21
"120039 PORTO WALTER";20
"120040 RIO BRANCO";1175
"120042 RODRIGUES ALVES";32
"120043 SANTA ROSA DO PURUS";1
"120045 SENADOR GUIOMARD";44
"120050 SENA MADUREIRA";47
"120060 TARAUACA";37
"120070 XAPURI";23
"120080 PORTO ACRE";16
" MUNICIPIO IGNORADO - AM";-
"130002 ALVARAES";22
"130006 AMATURA";3
"130008 ANAMA";20
"130010 ANORI";2
"130014 APUI";4
"130020 ATALAIA DO NORTE";15
"130030 AUTAZES";50
"130040 BARCELOS";13
"130050 BARREIRINHA";10
"130060 BENJAMIN CONSTANT";116
"130063 BERURI";19
"130068 BOA VISTA DO RAMOS";5
"130070 BOCA DO ACRE";44
"130080 BORBA";22
"130083 CAAPIRANGA";19
"130090 CANUTAMA";19
"130100 CARAUARI";44
"130110 CAREIRO";24
"130115 CAREIRO DA VARZEA";9
"130120 COARI";99
"130130 CODAJAS";24
"130140 EIRUNEPE";33
"130150 ENVIRA";5
"130160 FONTE BOA";28
"130165 GUAJARA";23
"130170 HUMAITA";74
"130180 IPIXUNA";5
"130185 IRANDUBA";67
"130190 ITACOATIARA";54
"130195 ITAMARATI";34
"130200 ITAPIRANGA";38
"130210 JAPURA";7
"130220 JURUA";10
"130230 JUTAI";4
"130240 LABREA";35
"130250 MANACAPURU";152
"130255 MANAQUIRI";3
"130260 MANAUS";5656
"130270 MANICORE";28
"130280 MARAA";17
