 Nascidos vivos - Brasil
Nascim p/resid.mãe por Município
Instrução da mãe: 1 a 3 anos
Período:2010
"Município";"Nascim_p/resid.mãe"
" MUNICIPIO IGNORADO - RO";-
"110001 ALTA FLORESTA D'OESTE";78
"110002 ARIQUEMES";94
"110003 CABIXI";6
"110004 CACOAL";56
"110005 CEREJEIRAS";6
"110006 COLORADO DO OESTE";12
"110007 CORUMBIARA";16
"110008 COSTA MARQUES";24
"110009 ESPIGAO D'OESTE";36
"110010 GUAJARA-MIRIM";84
"110011 JARU";65
"110012 JI-PARANA";146
"110013 MACHADINHO D'OESTE";25
"110014 NOVA BRASILANDIA D'OESTE";29
"110015 OURO PRETO DO OESTE";31
"110018 PIMENTA BUENO";34
"110020 PORTO VELHO";288
"110025 PRESIDENTE MEDICI";25
"110026 RIO CRESPO";2
"110028 ROLIM DE MOURA";103
"110029 SANTA LUZIA D'OESTE";13
"110030 VILHENA";28
"110032 SAO MIGUEL DO GUAPORE";23
"110033 NOVA MAMORE";37
"110034 ALVORADA D'OESTE";12
"110037 ALTO ALEGRE DOS PARECIS";30
"110040 ALTO PARAISO";26
"110045 BURITIS";45
"110050 NOVO HORIZONTE DO OESTE";26
"110060 CACAULANDIA";4
"110070 CAMPO NOVO DE RONDONIA";21
"110080 CANDEIAS DO JAMARI";25
"110090 CASTANHEIRAS";12
"110092 CHUPINGUAIA";5
"110094 CUJUBIM";23
"110100 GOVERNADOR JORGE TEIXEIRA";19
"110110 ITAPUA DO OESTE";16
"110120 MINISTRO ANDREAZZA";8
"110130 MIRANTE DA SERRA";8
"110140 MONTE NEGRO";18
"110143 NOVA UNIAO";11
"110145 PARECIS";14
"110146 PIMENTEIRAS DO OESTE";2
"110147 PRIMAVERA DE RONDONIA";4
"110148 SAO FELIPE D'OESTE";5
"110149 SAO FRANCISCO DO GUAPORE";16
"110150 SERINGUEIRAS";13
"110155 TEIXEIROPOLIS";2
"110160 THEOBROMA";12
"110170 URUPA";12
"110175 VALE DO ANARI";10
"110180 VALE DO PARAISO";10
" MUNICIPIO IGNORADO - AC";-
"120001 ACRELANDIA";26
"120005 ASSIS BRASIL";33
"120010 BRASILEIA";84
"120013 BUJARI";19
"120017 CAPIXABA";34
"120020 CRUZEIRO DO SUL";246
"120025 EPITACIOLANDIA";40
"120030 FEIJO";139
"120032 JORDAO";110
"120033 MANCIO LIMA";66
"120034 MANOEL URBANO";43
"120035 MARECHAL THAUMATURGO";87
"120038 PLACIDO DE CASTRO";36
"120039 PORTO WALTER";96
"120040 RIO BRANCO";351
"120042 RODRIGUES ALVES";77
"120043 SANTA ROSA DO PURUS";50
"120045 SENADOR GUIOMARD";36
"120050 SENA MADUREIRA";131
"120060 TARAUACA";260
"120070 XAPURI";53
"120080 PORTO ACRE";39
" MUNICIPIO IGNORADO - AM";-
"130002 ALVARAES";55
"130006 AMATURA";63
"130008 ANAMA";29
"130010 ANORI";6
"130014 APUI";15
"130020 ATALAIA DO NORTE";33
"130030 AUTAZES";138
"130040 BARCELOS";24
"130050 BARREIRINHA";89
"130060 BENJAMIN CONSTANT";150
"130063 BERURI";77
"130068 BOA VISTA DO RAMOS";65
"130070 BOCA DO ACRE";132
"130080 BORBA";158
"130083 CAAPIRANGA";23
"130090 CANUTAMA";45
"130100 CARAUARI";98
"130110 CAREIRO";57
"130115 CAREIRO DA VARZEA";35
"130120 COARI";199
"130130 CODAJAS";52
"130140 EIRUNEPE";100
"130150 ENVIRA";65
"130160 FONTE BOA";100
"130165 GUAJARA";70
"130170 HUMAITA";89
"130180 IPIXUNA";75
"130185 IRANDUBA";56
"130190 ITACOATIARA";174
"130195 ITAMARATI";38
"130200 ITAPIRANGA";15
"130210 JAPURA";34
"130220 JURUA";36
"130230 JUTAI";91
"130240 LABREA";127
"130250 MANACAPURU";213
"130255 MANAQUIRI";18
"130260 MANAUS";1415
"130270 MANICORE";190
"130280 MARAA";85
"130290 MAUES";209
"130300 NHAMUNDA";43
"130310 NOVA OLINDA DO NORTE";261
"130320 NOVO AIRAO";31
"130330 NOVO ARIPUANA";90
"130340 PARINTINS";112
"130350 PAUINI";74
"130353 PRESIDENTE FIGUEIREDO";19
"130356 RIO PRETO DA EVA";38
"130360 SANTA ISABEL DO RIO NEGRO";30
"130370 SANTO ANTONIO DO ICA";92
"130380 SAO GABRIEL DA CACHOEIRA";156
"130390 SAO PAULO DE OLIVENCA";171
"130395 SAO SEBASTIAO DO UATUMA";11
"130400 SILVES";13
"130406 TABATINGA";235
"130410 TAPAUA";115
"130420 TEFE";223
"130423 TONANTINS";56
"130426 UARINI";61
"130430 URUCARA";10
"130440 URUCURITUBA";40
" MUNICIPIO IGNORADO - RR";-
"140002 AMAJARI";11
"140005 ALTO ALEGRE";11
"140010 BOA VISTA";99
"140015 BONFIM";18
"140017 CANTA";31
"140020 CARACARAI";18
"140023 CAROEBE";6
"140028 IRACEMA";5
"140030 MUCAJAI";8
"140040 NORMANDIA";27
"140045 PACARAIMA";23
"140047 RORAINOPOLIS";16
"140050 SAO JOAO DA BALIZA";10
"140060 SAO LUIZ";6
"140070 UIRAMUTA";52
" MUNICIPIO IGNORADO - PA";1
"150010 ABAETETUBA";229
"150013 ABEL FIGUEIREDO";13
"150020 ACARA";141
"150030 AFUA";185
"150034 AGUA AZUL DO NORTE";36
"150040 ALENQUER";194
"150050 ALMEIRIM";124
"150060 ALTAMIRA";166
"150070 ANAJAS";249
"150080 ANANINDEUA";492
"150085 ANAPU";64
"150090 AUGUSTO CORREA";207
"150095 AURORA DO PARA";70
"150100 AVEIRO";34
"150110 BAGRE";175
"150120 BAIAO";40
"150125 BANNACH";7
"150130 BARCARENA";162
"150140 BELEM";1135
"150145 BELTERRA";23
"150150 BENEVIDES";55
"150157 BOM JESUS DO TOCANTINS";29
"150160 BONITO";47
"150170 BRAGANCA";265
"150172 BRASIL NOVO";27
"150175 BREJO GRANDE DO ARAGUAIA";17
"150178 BREU BRANCO";127
"150180 BREVES";506
"150190 BUJARU";61
"150195 CACHOEIRA DO PIRIA";61
"150200 CACHOEIRA DO ARARI";72
"150210 CAMETA";312
"150215 CANAA DOS CARAJAS";54
"150220 CAPANEMA";127
"150230 CAPITAO POCO";176
"150240 CASTANHAL";159
"150250 CHAVES";81
"150260 COLARES";12
"150270 CONCEICAO DO ARAGUAIA";66
"150275 CONCORDIA DO PARA";78
"150276 CUMARU DO NORTE";16
"150277 CURIONOPOLIS";25
"150280 CURRALINHO";107
"150285 CURUA";38
"150290 CURUCA";44
"150293 DOM ELISEU";108
"150295 ELDORADO DOS CARAJAS";87
"150300 FARO";13
"150304 FLORESTA DO ARAGUAIA";35
"150307 GARRAFAO DO NORTE";130
"150309 GOIANESIA DO PARA";84
"150310 GURUPA";175
"150320 IGARAPE-ACU";69
"150330 IGARAPE-MIRI";273
"150340 INHANGAPI";18
"150345 IPIXUNA DO PARA";150
"150350 IRITUIA";75
"150360 ITAITUBA";182
"150370 ITUPIRANGA";217
"150375 JACAREACANGA";136
"150380 JACUNDA";134
"150390 JURUTI";125
"150400 LIMOEIRO DO AJURU";74
"150405 MAE DO RIO";104
"150410 MAGALHAES BARATA";14
"150420 MARABA";374
"150430 MARACANA";54
"150440 MARAPANIM";50
"150442 MARITUBA";57
"150445 MEDICILANDIA";91
"150450 MELGACO";234
"150460 MOCAJUBA";78
"150470 MOJU";219
"150475 MOJUI DOS CAMPOS";-
"150480 MONTE ALEGRE";101
"150490 MUANA";110
"150495 NOVA ESPERANCA DO PIRIA";133
"150497 NOVA IPIXUNA";25
"150500 NOVA TIMBOTEUA";19
"150503 NOVO PROGRESSO";44
"150506 NOVO REPARTIMENTO";263
"150510 OBIDOS";66
"150520 OEIRAS DO PARA";191
"150530 ORIXIMINA";176
"150540 OUREM";51
"150543 OURILANDIA DO NORTE";38
"150548 PACAJA";131
"150549 PALESTINA DO PARA";10
"150550 PARAGOMINAS";235
"150553 PARAUAPEBAS";159
"150555 PAU D'ARCO";12
"150560 PEIXE-BOI";21
"150563 PICARRA";27
"150565 PLACAS";43
"150570 PONTA DE PEDRAS";50
