 Nascidos vivos - Brasil
Nascim p/resid.mãe por Município
Município de extrema pobreza: Sim
Período:2010
"Município";"Nascim_p/resid.mãe"
" MUNICIPIO IGNORADO - RO";-
"110001 ALTA FLORESTA D'OESTE";-
"110002 ARIQUEMES";-
"110003 CABIXI";-
"110004 CACOAL";-
"110005 CEREJEIRAS";-
"110006 COLORADO DO OESTE";-
"110007 CORUMBIARA";-
"110008 COSTA MARQUES";-
"110009 ESPIGAO D'OESTE";-
"110010 GUAJARA-MIRIM";882
"110011 JARU";-
"110012 JI-PARANA";-
"110013 MACHADINHO D'OESTE";-
"110014 NOVA BRASILANDIA D'OESTE";-
"110015 OURO PRETO DO OESTE";-
"110018 PIMENTA BUENO";604
"110020 PORTO VELHO";-
"110025 PRESIDENTE MEDICI";-
"110026 RIO CRESPO";-
"110028 ROLIM DE MOURA";-
"110029 SANTA LUZIA D'OESTE";-
"110030 VILHENA";-
"110032 SAO MIGUEL DO GUAPORE";252
"110033 NOVA MAMORE";-
"110034 ALVORADA D'OESTE";-
"110037 ALTO ALEGRE DOS PARECIS";204
"110040 ALTO PARAISO";-
"110045 BURITIS";656
"110050 NOVO HORIZONTE DO OESTE";-
"110060 CACAULANDIA";-
"110070 CAMPO NOVO DE RONDONIA";183
"110080 CANDEIAS DO JAMARI";-
"110090 CASTANHEIRAS";-
"110092 CHUPINGUAIA";-
"110094 CUJUBIM";-
"110100 GOVERNADOR JORGE TEIXEIRA";165
"110110 ITAPUA DO OESTE";114
"110120 MINISTRO ANDREAZZA";112
"110130 MIRANTE DA SERRA";191
"110140 MONTE NEGRO";-
"110143 NOVA UNIAO";-
"110145 PARECIS";-
"110146 PIMENTEIRAS DO OESTE";-
"110147 PRIMAVERA DE RONDONIA";48
"110148 SAO FELIPE D'OESTE";-
"110149 SAO FRANCISCO DO GUAPORE";255
"110150 SERINGUEIRAS";-
"110155 TEIXEIROPOLIS";-
"110160 THEOBROMA";-
"110170 URUPA";-
"110175 VALE DO ANARI";80
"110180 VALE DO PARAISO";97
