"Tabela 3218 - Domicílios particulares permanentes, por forma de abastecimento de água, segundo a existência de banheiro ou sanitário e esgotamento sanitário, o destino do lixo e a existência de energia elétrica"
"Variável - Domicílios particulares permanentes - percentual do total geral"
"Cód.";"Município";"Destino do lixo";"Existência de energia elétrica";"Ano x Forma de abastecimento de água x Existência de banheiro ou sanitário e esgotamento sanitário"
"Cód.";"Município";"Destino do lixo";"Existência de energia elétrica";"2010"
"Cód.";"Município";"Destino do lixo";"Existência de energia elétrica";"Total"
"Cód.";"Município";"Destino do lixo";"Existência de energia elétrica";"Total"
"1100015";"Alta Floresta D'Oeste (RO)";"Coletado";"Total";"56,86"
"1100023";"Ariquemes (RO)";"Coletado";"Total";"85,14"
"1100031";"Cabixi (RO)";"Coletado";"Total";"49,77"
"1100049";"Cacoal (RO)";"Coletado";"Total";"78,94"
"1100056";"Cerejeiras (RO)";"Coletado";"Total";"78,35"
"1100064";"Colorado do Oeste (RO)";"Coletado";"Total";"69,11"
"1100072";"Corumbiara (RO)";"Coletado";"Total";"37,83"
"1100080";"Costa Marques (RO)";"Coletado";"Total";"55,74"
"1100098";"Espigão D'Oeste (RO)";"Coletado";"Total";"66,43"
"1100106";"Guajará-Mirim (RO)";"Coletado";"Total";"79,55"
"1100114";"Jaru (RO)";"Coletado";"Total";"71,63"
"1100122";"Ji-Paraná (RO)";"Coletado";"Total";"86,93"
"1100130";"Machadinho D'Oeste (RO)";"Coletado";"Total";"50,73"
"1100148";"Nova Brasilândia D'Oeste (RO)";"Coletado";"Total";"42,43"
"1100155";"Ouro Preto do Oeste (RO)";"Coletado";"Total";"75,12"
"1100189";"Pimenta Bueno (RO)";"Coletado";"Total";"85,34"
"1100205";"Porto Velho (RO)";"Coletado";"Total";"89,54"
"1100254";"Presidente Médici (RO)";"Coletado";"Total";"56,80"
"1100262";"Rio Crespo (RO)";"Coletado";"Total";"34,30"
"1100288";"Rolim de Moura (RO)";"Coletado";"Total";"82,94"
"1100296";"Santa Luzia D'Oeste (RO)";"Coletado";"Total";"41,81"
"1100304";"Vilhena (RO)";"Coletado";"Total";"93,59"
"1100320";"São Miguel do Guaporé (RO)";"Coletado";"Total";"45,49"
"1100338";"Nova Mamoré (RO)";"Coletado";"Total";"47,01"
"1100346";"Alvorada D'Oeste (RO)";"Coletado";"Total";"51,11"
"1100379";"Alto Alegre dos Parecis (RO)";"Coletado";"Total";"37,36"
"1100403";"Alto Paraíso (RO)";"Coletado";"Total";"42,52"
"1100452";"Buritis (RO)";"Coletado";"Total";"64,54"
"1100502";"Novo Horizonte do Oeste (RO)";"Coletado";"Total";"33,79"
"1100601";"Cacaulândia (RO)";"Coletado";"Total";"35,70"
"1100700";"Campo Novo de Rondônia (RO)";"Coletado";"Total";"27,08"
"1100809";"Candeias do Jamari (RO)";"Coletado";"Total";"55,51"
"1100908";"Castanheiras (RO)";"Coletado";"Total";"25,63"
"1100924";"Chupinguaia (RO)";"Coletado";"Total";"58,98"
"1100940";"Cujubim (RO)";"Coletado";"Total";"60,25"
"1101005";"Governador Jorge Teixeira (RO)";"Coletado";"Total";"27,44"
"1101104";"Itapuã do Oeste (RO)";"Coletado";"Total";"56,18"
"1101203";"Ministro Andreazza (RO)";"Coletado";"Total";"38,29"
"1101302";"Mirante da Serra (RO)";"Coletado";"Total";"48,62"
"1101401";"Monte Negro (RO)";"Coletado";"Total";"46,67"
"1101435";"Nova União (RO)";"Coletado";"Total";"23,38"
"1101450";"Parecis (RO)";"Coletado";"Total";"38,44"
"1101468";"Pimenteiras do Oeste (RO)";"Coletado";"Total";"50,43"
"1101476";"Primavera de Rondônia (RO)";"Coletado";"Total";"44,11"
"1101484";"São Felipe D'Oeste (RO)";"Coletado";"Total";"33,15"
"1101492";"São Francisco do Guaporé (RO)";"Coletado";"Total";"47,04"
"1101500";"Seringueiras (RO)";"Coletado";"Total";"39,47"
"1101559";"Teixeirópolis (RO)";"Coletado";"Total";"34,51"
"1101609";"Theobroma (RO)";"Coletado";"Total";"24,28"
"1101708";"Urupá (RO)";"Coletado";"Total";"39,06"
"1101757";"Vale do Anari (RO)";"Coletado";"Total";"33,64"
"1101807";"Vale do Paraíso (RO)";"Coletado";"Total";"33,59"
"1200013";"Acrelândia (AC)";"Coletado";"Total";"48,83"
"1200054";"Assis Brasil (AC)";"Coletado";"Total";"61,40"
"1200104";"Brasiléia (AC)";"Coletado";"Total";"67,91"
"1200138";"Bujari (AC)";"Coletado";"Total";"47,00"
"1200179";"Capixaba (AC)";"Coletado";"Total";"44,24"
"1200203";"Cruzeiro do Sul (AC)";"Coletado";"Total";"68,32"
"1200252";"Epitaciolândia (AC)";"Coletado";"Total";"68,59"
"1200302";"Feijó (AC)";"Coletado";"Total";"51,27"
"1200328";"Jordão (AC)";"Coletado";"Total";"38,30"
"1200336";"Mâncio Lima (AC)";"Coletado";"Total";"50,89"
"1200344";"Manoel Urbano (AC)";"Coletado";"Total";"52,96"
"1200351";"Marechal Thaumaturgo (AC)";"Coletado";"Total";"32,58"
"1200385";"Plácido de Castro (AC)";"Coletado";"Total";"55,38"
"1200393";"Porto Walter (AC)";"Coletado";"Total";"20,56"
"1200401";"Rio Branco (AC)";"Coletado";"Total";"92,98"
"1200427";"Rodrigues Alves (AC)";"Coletado";"Total";"38,52"
