CNES - Estabelecimentos por Tipo - Brasil
Quantidade por Município
Tipo de Estabelecimento: POSTO DE SAUDE, CENTRO DE SAUDE/UNIDADE BASICA
Período:Jun/2010
"Município";"Quantidade"
" MUNICIPIO IGNORADO - RO";-
"110001 ALTA FLORESTA D'OESTE";6
"110002 ARIQUEMES";9
"110003 CABIXI";2
"110004 CACOAL";8
"110005 CEREJEIRAS";7
"110006 COLORADO DO OESTE";7
"110007 CORUMBIARA";4
"110008 COSTA MARQUES";7
"110009 ESPIGAO D'OESTE";8
"110010 GUAJARA-MIRIM";19
"110011 JARU";13
"110012 JI-PARANA";18
"110013 MACHADINHO D'OESTE";14
"110014 NOVA BRASILANDIA D'OESTE";5
"110015 OURO PRETO DO OESTE";13
"110018 PIMENTA BUENO";14
"110020 PORTO VELHO";56
"110025 PRESIDENTE MEDICI";11
"110026 RIO CRESPO";-
"110028 ROLIM DE MOURA";14
"110029 SANTA LUZIA D'OESTE";1
"110030 VILHENA";12
"110032 SAO MIGUEL DO GUAPORE";4
"110033 NOVA MAMORE";5
"110034 ALVORADA D'OESTE";4
"110037 ALTO ALEGRE DOS PARECIS";4
"110040 ALTO PARAISO";4
"110045 BURITIS";2
"110050 NOVO HORIZONTE DO OESTE";2
"110060 CACAULANDIA";3
"110070 CAMPO NOVO DE RONDONIA";5
"110080 CANDEIAS DO JAMARI";2
"110090 CASTANHEIRAS";1
"110092 CHUPINGUAIA";4
"110094 CUJUBIM";-
"110100 GOVERNADOR JORGE TEIXEIRA";5
"110110 ITAPUA DO OESTE";1
"110120 MINISTRO ANDREAZZA";1
"110130 MIRANTE DA SERRA";3
"110140 MONTE NEGRO";7
"110143 NOVA UNIAO";2
"110145 PARECIS";-
"110146 PIMENTEIRAS DO OESTE";-
"110147 PRIMAVERA DE RONDONIA";3
"110148 SAO FELIPE D'OESTE";1
"110149 SAO FRANCISCO DO GUAPORE";3
"110150 SERINGUEIRAS";2
"110155 TEIXEIROPOLIS";-
"110160 THEOBROMA";5
"110170 URUPA";11
"110175 VALE DO ANARI";3
"110180 VALE DO PARAISO";1
" MUNICIPIO IGNORADO - AC";-
"120001 ACRELANDIA";8
"120005 ASSIS BRASIL";2
"120010 BRASILEIA";7
"120013 BUJARI";3
"120017 CAPIXABA";4
"120020 CRUZEIRO DO SUL";28
"120025 EPITACIOLANDIA";6
"120030 FEIJO";12
"120032 JORDAO";1
