 Nascidos vivos - Brasil
Nascim p/resid.mãe por Município
Peso ao nascer: 2500 a 2999 g, 3000 a 3999 g
Período:2010
"Município";"Nascim_p/resid.mãe"
" MUNICIPIO IGNORADO - RO";-
"110001 ALTA FLORESTA D'OESTE";403
"110002 ARIQUEMES";1461
"110003 CABIXI";91
"110004 CACOAL";1016
"110005 CEREJEIRAS";205
"110006 COLORADO DO OESTE";224
"110007 CORUMBIARA";115
"110008 COSTA MARQUES";233
"110009 ESPIGAO D'OESTE";437
"110010 GUAJARA-MIRIM";766
"110011 JARU";720
"110012 JI-PARANA";1383
"110013 MACHADINHO D'OESTE";450
"110014 NOVA BRASILANDIA D'OESTE";284
"110015 OURO PRETO DO OESTE";574
"110018 PIMENTA BUENO";525
"110020 PORTO VELHO";6927
"110025 PRESIDENTE MEDICI";150
"110026 RIO CRESPO";36
"110028 ROLIM DE MOURA";708
"110029 SANTA LUZIA D'OESTE";114
"110030 VILHENA";1129
"110032 SAO MIGUEL DO GUAPORE";223
"110033 NOVA MAMORE";370
"110034 ALVORADA D'OESTE";170
"110037 ALTO ALEGRE DOS PARECIS";174
"110040 ALTO PARAISO";242
"110045 BURITIS";587
"110050 NOVO HORIZONTE DO OESTE";137
"110060 CACAULANDIA";61
"110070 CAMPO NOVO DE RONDONIA";165
"110080 CANDEIAS DO JAMARI";309
"110090 CASTANHEIRAS";49
"110092 CHUPINGUAIA";108
"110094 CUJUBIM";191
"110100 GOVERNADOR JORGE TEIXEIRA";152
"110110 ITAPUA DO OESTE";101
"110120 MINISTRO ANDREAZZA";102
"110130 MIRANTE DA SERRA";161
"110140 MONTE NEGRO";195
"110143 NOVA UNIAO";89
"110145 PARECIS";68
"110146 PIMENTEIRAS DO OESTE";35
"110147 PRIMAVERA DE RONDONIA";45
"110148 SAO FELIPE D'OESTE";69
"110149 SAO FRANCISCO DO GUAPORE";217
"110150 SERINGUEIRAS";168
"110155 TEIXEIROPOLIS";50
"110160 THEOBROMA";126
"110170 URUPA";98
"110175 VALE DO ANARI";66
"110180 VALE DO PARAISO";91
" MUNICIPIO IGNORADO - AC";-
"120001 ACRELANDIA";202
"120005 ASSIS BRASIL";195
"120010 BRASILEIA";405
"120013 BUJARI";165
"120017 CAPIXABA";153
"120020 CRUZEIRO DO SUL";1228
"120025 EPITACIOLANDIA";221
"120030 FEIJO";551
"120032 JORDAO";192
"120033 MANCIO LIMA";292
"120034 MANOEL URBANO";147
"120035 MARECHAL THAUMATURGO";367
"120038 PLACIDO DE CASTRO";290
"120039 PORTO WALTER";187
"120040 RIO BRANCO";5576
"120042 RODRIGUES ALVES";377
"120043 SANTA ROSA DO PURUS";141
"120045 SENADOR GUIOMARD";320
"120050 SENA MADUREIRA";766
"120060 TARAUACA";1072
"120070 XAPURI";243
"120080 PORTO ACRE";287
" MUNICIPIO IGNORADO - AM";2
"130002 ALVARAES";249
"130006 AMATURA";208
"130008 ANAMA";153
"130010 ANORI";213
"130014 APUI";209
"130020 ATALAIA DO NORTE";221
"130030 AUTAZES";710
"130040 BARCELOS";233
"130050 BARREIRINHA";596
"130060 BENJAMIN CONSTANT";820
"130063 BERURI";362
"130068 BOA VISTA DO RAMOS";314
"130070 BOCA DO ACRE";557
"130080 BORBA";651
"130083 CAAPIRANGA";162
"130090 CANUTAMA";161
"130100 CARAUARI";481
"130110 CAREIRO";325
"130115 CAREIRO DA VARZEA";145
"130120 COARI";1473
"130130 CODAJAS";386
"130140 EIRUNEPE";608
"130150 ENVIRA";258
"130160 FONTE BOA";403
"130165 GUAJARA";292
"130170 HUMAITA";733
"130180 IPIXUNA";310
"130185 IRANDUBA";757
"130190 ITACOATIARA";1781
"130195 ITAMARATI";143
"130200 ITAPIRANGA";164
"130210 JAPURA";105
"130220 JURUA";165
"130230 JUTAI";279
"130240 LABREA";628
"130250 MANACAPURU";1644
"130255 MANAQUIRI";161
"130260 MANAUS";33733
"130270 MANICORE";659
