 Nascidos vivos - Brasil
Nascim p/resid.mãe por Município
Peso ao nascer: Menos de 500g, 500 a 999g
Período:2010
"Município";"Nascim_p/resid.mãe"
" MUNICIPIO IGNORADO - RO";-
"110001 ALTA FLORESTA D'OESTE";1
"110002 ARIQUEMES";4
"110003 CABIXI";-
"110004 CACOAL";6
"110005 CEREJEIRAS";3
"110006 COLORADO DO OESTE";4
"110007 CORUMBIARA";3
"110008 COSTA MARQUES";2
"110009 ESPIGAO D'OESTE";1
"110010 GUAJARA-MIRIM";4
"110011 JARU";3
"110012 JI-PARANA";10
"110013 MACHADINHO D'OESTE";-
"110014 NOVA BRASILANDIA D'OESTE";2
"110015 OURO PRETO DO OESTE";1
"110018 PIMENTA BUENO";7
"110020 PORTO VELHO";45
"110025 PRESIDENTE MEDICI";3
"110026 RIO CRESPO";-
"110028 ROLIM DE MOURA";1
"110029 SANTA LUZIA D'OESTE";-
"110030 VILHENA";22
"110032 SAO MIGUEL DO GUAPORE";-
"110033 NOVA MAMORE";3
"110034 ALVORADA D'OESTE";2
"110037 ALTO ALEGRE DOS PARECIS";1
"110040 ALTO PARAISO";1
"110045 BURITIS";3
"110050 NOVO HORIZONTE DO OESTE";-
"110060 CACAULANDIA";-
"110070 CAMPO NOVO DE RONDONIA";1
"110080 CANDEIAS DO JAMARI";1
"110090 CASTANHEIRAS";-
"110092 CHUPINGUAIA";-
"110094 CUJUBIM";1
"110100 GOVERNADOR JORGE TEIXEIRA";-
"110110 ITAPUA DO OESTE";-
"110120 MINISTRO ANDREAZZA";-
"110130 MIRANTE DA SERRA";-
"110140 MONTE NEGRO";-
"110143 NOVA UNIAO";-
"110145 PARECIS";-
"110146 PIMENTEIRAS DO OESTE";1
"110147 PRIMAVERA DE RONDONIA";-
"110148 SAO FELIPE D'OESTE";-
"110149 SAO FRANCISCO DO GUAPORE";-
"110150 SERINGUEIRAS";1
"110155 TEIXEIROPOLIS";1
"110160 THEOBROMA";-
"110170 URUPA";-
"110175 VALE DO ANARI";-
"110180 VALE DO PARAISO";-
" MUNICIPIO IGNORADO - AC";-
"120001 ACRELANDIA";2
"120005 ASSIS BRASIL";-
"120010 BRASILEIA";-
"120013 BUJARI";-
"120017 CAPIXABA";1
"120020 CRUZEIRO DO SUL";10
"120025 EPITACIOLANDIA";3
"120030 FEIJO";4
"120032 JORDAO";1
"120033 MANCIO LIMA";3
"120034 MANOEL URBANO";-
"120035 MARECHAL THAUMATURGO";2
"120038 PLACIDO DE CASTRO";1
"120039 PORTO WALTER";1
"120040 RIO BRANCO";29
"120042 RODRIGUES ALVES";3
"120043 SANTA ROSA DO PURUS";-
"120045 SENADOR GUIOMARD";2
"120050 SENA MADUREIRA";3
"120060 TARAUACA";1
