 Nascidos vivos - Brasil
Nascim p/resid.mãe por Município
Cor/raça: Preta, Amarela, Parda, Indígena
Período:2010
"Município";"Nascim_p/resid.mãe"
" MUNICIPIO IGNORADO - RO";-
"110001 ALTA FLORESTA D'OESTE";206
"110002 ARIQUEMES";1134
"110003 CABIXI";38
"110004 CACOAL";809
"110005 CEREJEIRAS";57
"110006 COLORADO DO OESTE";110
"110007 CORUMBIARA";39
"110008 COSTA MARQUES";216
"110009 ESPIGAO D'OESTE";355
"110010 GUAJARA-MIRIM";780
"110011 JARU";440
"110012 JI-PARANA";1030
"110013 MACHADINHO D'OESTE";423
"110014 NOVA BRASILANDIA D'OESTE";93
"110015 OURO PRETO DO OESTE";172
"110018 PIMENTA BUENO";317
"110020 PORTO VELHO";5679
"110025 PRESIDENTE MEDICI";141
"110026 RIO CRESPO";25
"110028 ROLIM DE MOURA";467
"110029 SANTA LUZIA D'OESTE";78
"110030 VILHENA";182
"110032 SAO MIGUEL DO GUAPORE";155
"110033 NOVA MAMORE";348
"110034 ALVORADA D'OESTE";119
"110037 ALTO ALEGRE DOS PARECIS";142
"110040 ALTO PARAISO";216
"110045 BURITIS";316
"110050 NOVO HORIZONTE DO OESTE";94
"110060 CACAULANDIA";49
"110070 CAMPO NOVO DE RONDONIA";103
"110080 CANDEIAS DO JAMARI";286
"110090 CASTANHEIRAS";38
"110092 CHUPINGUAIA";37
"110094 CUJUBIM";167
"110100 GOVERNADOR JORGE TEIXEIRA";98
"110110 ITAPUA DO OESTE";90
"110120 MINISTRO ANDREAZZA";68
"110130 MIRANTE DA SERRA";89
"110140 MONTE NEGRO";156
"110143 NOVA UNIAO";36
"110145 PARECIS";44
"110146 PIMENTEIRAS DO OESTE";15
"110147 PRIMAVERA DE RONDONIA";17
"110148 SAO FELIPE D'OESTE";33
"110149 SAO FRANCISCO DO GUAPORE";142
"110150 SERINGUEIRAS";41
"110155 TEIXEIROPOLIS";12
"110160 THEOBROMA";78
"110170 URUPA";41
"110175 VALE DO ANARI";51
"110180 VALE DO PARAISO";29
" MUNICIPIO IGNORADO - AC";-
"120001 ACRELANDIA";210
"120005 ASSIS BRASIL";239
"120010 BRASILEIA";432
"120013 BUJARI";172
"120017 CAPIXABA";182
"120020 CRUZEIRO DO SUL";1334
"120025 EPITACIOLANDIA";231
"120030 FEIJO";269
"120032 JORDAO";241
"120033 MANCIO LIMA";364
"120034 MANOEL URBANO";184
"120035 MARECHAL THAUMATURGO";373
"120038 PLACIDO DE CASTRO";320
"120039 PORTO WALTER";258
"120040 RIO BRANCO";6035
"120042 RODRIGUES ALVES";374
"120043 SANTA ROSA DO PURUS";204
"120045 SENADOR GUIOMARD";341
"120050 SENA MADUREIRA";908
"120060 TARAUACA";1190
"120070 XAPURI";263
"120080 PORTO ACRE";314
" MUNICIPIO IGNORADO - AM";-
"130002 ALVARAES";276
"130006 AMATURA";229
"130008 ANAMA";168
"130010 ANORI";221
"130014 APUI";191
"130020 ATALAIA DO NORTE";186
"130030 AUTAZES";708
"130040 BARCELOS";240
"130050 BARREIRINHA";679
"130060 BENJAMIN CONSTANT";919
"130063 BERURI";394
"130068 BOA VISTA DO RAMOS";336
"130070 BOCA DO ACRE";438
"130080 BORBA";730
"130083 CAAPIRANGA";185
"130090 CANUTAMA";157
"130100 CARAUARI";145
"130110 CAREIRO";347
"130115 CAREIRO DA VARZEA";179
"130120 COARI";1330
"130130 CODAJAS";406
"130140 EIRUNEPE";670
"130150 ENVIRA";179
"130160 FONTE BOA";465
"130165 GUAJARA";320
"130170 HUMAITA";765
"130180 IPIXUNA";331
"130185 IRANDUBA";834
"130190 ITACOATIARA";2026
"130195 ITAMARATI";177
"130200 ITAPIRANGA";179
"130210 JAPURA";110
"130220 JURUA";138
"130230 JUTAI";227
"130240 LABREA";646
"130250 MANACAPURU";1901
"130255 MANAQUIRI";178
"130260 MANAUS";30993
"130270 MANICORE";502
"130280 MARAA";336
"130290 MAUES";1263
"130300 NHAMUNDA";285
"130310 NOVA OLINDA DO NORTE";535
"130320 NOVO AIRAO";250
"130330 NOVO ARIPUANA";392
"130340 PARINTINS";2084
"130350 PAUINI";198
"130353 PRESIDENTE FIGUEIREDO";370
"130356 RIO PRETO DA EVA";300
"130360 SANTA ISABEL DO RIO NEGRO";296
"130370 SANTO ANTONIO DO ICA";516
"130380 SAO GABRIEL DA CACHOEIRA";910
"130390 SAO PAULO DE OLIVENCA";782
"130395 SAO SEBASTIAO DO UATUMA";153
"130400 SILVES";204
"130406 TABATINGA";1314
"130410 TAPAUA";352
"130420 TEFE";1618
"130423 TONANTINS";320
"130426 UARINI";305
"130430 URUCARA";286
"130440 URUCURITUBA";326
" MUNICIPIO IGNORADO - RR";-
"140002 AMAJARI";257
"140005 ALTO ALEGRE";559
"140010 BOA VISTA";4895
"140015 BONFIM";236
"140017 CANTA";255
"140020 CARACARAI";311
"140023 CAROEBE";131
"140028 IRACEMA";137
"140030 MUCAJAI";258
"140040 NORMANDIA";240
"140045 PACARAIMA";258
"140047 RORAINOPOLIS";278
"140050 SAO JOAO DA BALIZA";114
"140060 SAO LUIZ";63
"140070 UIRAMUTA";248
" MUNICIPIO IGNORADO - PA";1
"150010 ABAETETUBA";2294
"150013 ABEL FIGUEIREDO";80
"150020 ACARA";710
"150030 AFUA";620
"150034 AGUA AZUL DO NORTE";116
"150040 ALENQUER";1086
"150050 ALMEIRIM";680
"150060 ALTAMIRA";1747
"150070 ANAJAS";536
"150080 ANANINDEUA";8178
"150085 ANAPU";351
"150090 AUGUSTO CORREA";1064
"150095 AURORA DO PARA";406
"150100 AVEIRO";219
"150110 BAGRE";398
"150120 BAIAO";541
"150125 BANNACH";34
"150130 BARCARENA";1674
"150140 BELEM";17030
"150145 BELTERRA";196
"150150 BENEVIDES";944
"150157 BOM JESUS DO TOCANTINS";234
"150160 BONITO";189
"150170 BRAGANCA";2247
"150172 BRASIL NOVO";235
"150175 BREJO GRANDE DO ARAGUAIA";140
"150178 BREU BRANCO";662
"150180 BREVES";1796
"150190 BUJARU";501
"150195 CACHOEIRA DO PIRIA";284
"150200 CACHOEIRA DO ARARI";223
"150210 CAMETA";1999
"150215 CANAA DOS CARAJAS";520
"150220 CAPANEMA";1064
"150230 CAPITAO POCO";592
"150240 CASTANHAL";3313
"150250 CHAVES";252
"150260 COLARES";148
"150270 CONCEICAO DO ARAGUAIA";642
"150275 CONCORDIA DO PARA";464
"150276 CUMARU DO NORTE";112
"150277 CURIONOPOLIS";305
"150280 CURRALINHO";516
"150285 CURUA";226
"150290 CURUCA";461
"150293 DOM ELISEU";653
"150295 ELDORADO DOS CARAJAS";531
"150300 FARO";141
"150304 FLORESTA DO ARAGUAIA";266
"150307 GARRAFAO DO NORTE";419
"150309 GOIANESIA DO PARA";606
"150310 GURUPA";586
"150320 IGARAPE-ACU";596
"150330 IGARAPE-MIRI";1129
"150340 INHANGAPI";158
"150345 IPIXUNA DO PARA";571
"150350 IRITUIA";479
"150360 ITAITUBA";1855
"150370 ITUPIRANGA";972
"150375 JACAREACANGA";334
"150380 JACUNDA";968
"150390 JURUTI";576
"150400 LIMOEIRO DO AJURU";458
"150405 MAE DO RIO";628
"150410 MAGALHAES BARATA";103
"150420 MARABA";4773
"150430 MARACANA";394
"150440 MARAPANIM";345
"150442 MARITUBA";1398
"150445 MEDICILANDIA";404
"150450 MELGACO";612
"150460 MOCAJUBA";495
"150470 MOJU";1205
"150475 MOJUI DOS CAMPOS";-
"150480 MONTE ALEGRE";921
"150490 MUANA";487
"150495 NOVA ESPERANCA DO PIRIA";395
"150497 NOVA IPIXUNA";226
"150500 NOVA TIMBOTEUA";144
"150503 NOVO PROGRESSO";284
"150506 NOVO REPARTIMENTO";1279
"150510 OBIDOS";789
"150520 OEIRAS DO PARA";681
"150530 ORIXIMINA";1352
"150540 OUREM";319
"150543 OURILANDIA DO NORTE";358
"150548 PACAJA";623
"150549 PALESTINA DO PARA";157
"150550 PARAGOMINAS";2024
"150553 PARAUAPEBAS";3562
"150555 PAU D'ARCO";97
"150560 PEIXE-BOI";98
"150563 PICARRA";134
"150565 PLACAS";216
"150570 PONTA DE PEDRAS";253
"150580 PORTEL";1062
"150590 PORTO DE MOZ";656
"150600 PRAINHA";650
"150610 PRIMAVERA";147
"150611 QUATIPURU";151
"150613 REDENCAO";1332
"150616 RIO MARIA";259
"150618 RONDON DO PARA";647
"150619 RUROPOLIS";391
"150620 SALINOPOLIS";642
"150630 SALVATERRA";336
"150635 SANTA BARBARA DO PARA";304
"150640 SANTA CRUZ DO ARARI";66
"150650 SANTA IZABEL DO PARA";881
"150655 SANTA LUZIA DO PARA";384
"150658 SANTA MARIA DAS BARREIRAS";195
"150660 SANTA MARIA DO PARA";368
"150670 SANTANA DO ARAGUAIA";502
"150680 SANTAREM";6475
"150690 SANTAREM NOVO";104
"150700 SANTO ANTONIO DO TAUA";398
"150710 SAO CAETANO DE ODIVELAS";198
"150715 SAO DOMINGOS DO ARAGUAIA";394
