 Nascidos vivos - Brasil
Nascim p/resid.mãe por Município
Duração gestação: De 32 a 36 semanas
Período:2010
"Município";"Nascim_p/resid.mãe"
" MUNICIPIO IGNORADO - RO";-
"110001 ALTA FLORESTA D'OESTE";14
"110002 ARIQUEMES";77
"110003 CABIXI";3
"110004 CACOAL";70
"110005 CEREJEIRAS";8
"110006 COLORADO DO OESTE";10
"110007 CORUMBIARA";5
"110008 COSTA MARQUES";20
"110009 ESPIGAO D'OESTE";15
"110010 GUAJARA-MIRIM";16
"110011 JARU";40
"110012 JI-PARANA";58
"110013 MACHADINHO D'OESTE";16
"110014 NOVA BRASILANDIA D'OESTE";13
"110015 OURO PRETO DO OESTE";33
"110018 PIMENTA BUENO";26
"110020 PORTO VELHO";626
"110025 PRESIDENTE MEDICI";7
"110026 RIO CRESPO";1
"110028 ROLIM DE MOURA";33
"110029 SANTA LUZIA D'OESTE";3
"110030 VILHENA";55
"110032 SAO MIGUEL DO GUAPORE";9
"110033 NOVA MAMORE";18
"110034 ALVORADA D'OESTE";9
"110037 ALTO ALEGRE DOS PARECIS";10
"110040 ALTO PARAISO";10
"110045 BURITIS";23
"110050 NOVO HORIZONTE DO OESTE";4
"110060 CACAULANDIA";-
"110070 CAMPO NOVO DE RONDONIA";7
"110080 CANDEIAS DO JAMARI";37
"110090 CASTANHEIRAS";-
"110092 CHUPINGUAIA";5
"110094 CUJUBIM";16
"110100 GOVERNADOR JORGE TEIXEIRA";10
"110110 ITAPUA DO OESTE";8
"110120 MINISTRO ANDREAZZA";5
"110130 MIRANTE DA SERRA";14
"110140 MONTE NEGRO";12
"110143 NOVA UNIAO";5
"110145 PARECIS";3
"110146 PIMENTEIRAS DO OESTE";3
"110147 PRIMAVERA DE RONDONIA";3
"110148 SAO FELIPE D'OESTE";2
"110149 SAO FRANCISCO DO GUAPORE";15
"110150 SERINGUEIRAS";3
"110155 TEIXEIROPOLIS";4
"110160 THEOBROMA";7
"110170 URUPA";9
"110175 VALE DO ANARI";2
"110180 VALE DO PARAISO";7
" MUNICIPIO IGNORADO - AC";-
"120001 ACRELANDIA";10
"120005 ASSIS BRASIL";7
"120010 BRASILEIA";24
"120013 BUJARI";4
"120017 CAPIXABA";7
"120020 CRUZEIRO DO SUL";79
"120025 EPITACIOLANDIA";6
"120030 FEIJO";4
"120032 JORDAO";86
"120033 MANCIO LIMA";13
"120034 MANOEL URBANO";14
"120035 MARECHAL THAUMATURGO";12
"120038 PLACIDO DE CASTRO";5
"120039 PORTO WALTER";7
"120040 RIO BRANCO";240
"120042 RODRIGUES ALVES";11
"120043 SANTA ROSA DO PURUS";10
"120045 SENADOR GUIOMARD";17
"120050 SENA MADUREIRA";28
"120060 TARAUACA";23
"120070 XAPURI";8
"120080 PORTO ACRE";9
" MUNICIPIO IGNORADO - AM";-
"130002 ALVARAES";10
"130006 AMATURA";22
"130008 ANAMA";7
"130010 ANORI";2
"130014 APUI";5
"130020 ATALAIA DO NORTE";2
"130030 AUTAZES";29
