"110001 ALTA FLORESTA D'OESTE";10
"110002 ARIQUEMES";20
"110003 CABIXI";1
"110004 CACOAL";15
"110005 CEREJEIRAS";3
"110006 COLORADO DO OESTE";10
"110007 CORUMBIARA";3
"110008 COSTA MARQUES";2
"110009 ESPIGAO D'OESTE";13
"110010 GUAJARA-MIRIM";16
"110011 JARU";16
"110012 JI-PARANA";46
"110013 MACHADINHO D'OESTE";6
"110014 NOVA BRASILANDIA D'OESTE";8
"110015 OURO PRETO DO OESTE";8
"110018 PIMENTA BUENO";10
"110020 PORTO VELHO";176
"110025 PRESIDENTE MEDICI";3
"110026 RIO CRESPO";-
"110028 ROLIM DE MOURA";10
"110029 SANTA LUZIA D'OESTE";2
"110030 VILHENA";26
"110032 SAO MIGUEL DO GUAPORE";1
"110033 NOVA MAMORE";8
"110034 ALVORADA D'OESTE";5
"110037 ALTO ALEGRE DOS PARECIS";2
"110040 ALTO PARAISO";8
"110045 BURITIS";4
"110050 NOVO HORIZONTE DO OESTE";-
"110060 CACAULANDIA";1
"110070 CAMPO NOVO DE RONDONIA";6
"110080 CANDEIAS DO JAMARI";8
"110090 CASTANHEIRAS";1
"110092 CHUPINGUAIA";-
"110094 CUJUBIM";6
"110100 GOVERNADOR JORGE TEIXEIRA";1
"110110 ITAPUA DO OESTE";-
"110120 MINISTRO ANDREAZZA";2
"110130 MIRANTE DA SERRA";3
"110140 MONTE NEGRO";3
"110143 NOVA UNIAO";1
"110145 PARECIS";3
"110146 PIMENTEIRAS DO OESTE";2
"110147 PRIMAVERA DE RONDONIA";-
"110148 SAO FELIPE D'OESTE";-
"110149 SAO FRANCISCO DO GUAPORE";3
"110150 SERINGUEIRAS";1
"110155 TEIXEIROPOLIS";1
"110160 THEOBROMA";1
"110170 URUPA";3
"110175 VALE DO ANARI";-
"110180 VALE DO PARAISO";1
" MUNICIPIO IGNORADO - AC";-
"120001 ACRELANDIA";6
"120005 ASSIS BRASIL";3
"120010 BRASILEIA";6
"120013 BUJARI";4
"120017 CAPIXABA";2
"120020 CRUZEIRO DO SUL";25
"120025 EPITACIOLANDIA";7
"120030 FEIJO";16
"120032 JORDAO";8
"120033 MANCIO LIMA";4
"120034 MANOEL URBANO";6
"120035 MARECHAL THAUMATURGO";5
"120038 PLACIDO DE CASTRO";2
"120039 PORTO WALTER";4
"120040 RIO BRANCO";117
"120042 RODRIGUES ALVES";5
"120043 SANTA ROSA DO PURUS";8
"120045 SENADOR GUIOMARD";3
"120050 SENA MADUREIRA";18
"120060 TARAUACA";22
"120070 XAPURI";7
"120080 PORTO ACRE";9
" MUNICIPIO IGNORADO - AM";-
"130002 ALVARAES";7
"130006 AMATURA";3
"130008 ANAMA";3
"130010 ANORI";3
"130014 APUI";3
"130020 ATALAIA DO NORTE";14
"130030 AUTAZES";11
"130040 BARCELOS";6
"130050 BARREIRINHA";12
"130060 BENJAMIN CONSTANT";27
"130063 BERURI";3
"130068 BOA VISTA DO RAMOS";3
"130070 BOCA DO ACRE";7
"130080 BORBA";8
"130083 CAAPIRANGA";1
"130090 CANUTAMA";5
"130100 CARAUARI";17
"130110 CAREIRO";6
"130115 CAREIRO DA VARZEA";6
"130120 COARI";25
"130130 CODAJAS";11
"130140 EIRUNEPE";38
"130150 ENVIRA";8
"130160 FONTE BOA";5
"130165 GUAJARA";7
"130170 HUMAITA";9
"130180 IPIXUNA";4
"130185 IRANDUBA";16
"130190 ITACOATIARA";36
"130195 ITAMARATI";2
"130200 ITAPIRANGA";2
"130210 JAPURA";2
"130220 JURUA";1
"130230 JUTAI";3
"130240 LABREA";11
"130250 MANACAPURU";38
"130255 MANAQUIRI";2
"130260 MANAUS";541
"130270 MANICORE";18
"130280 MARAA";10
"130290 MAUES";18
"130300 NHAMUNDA";4
"130310 NOVA OLINDA DO NORTE";12
"130320 NOVO AIRAO";4
"130330 NOVO ARIPUANA";6
"130340 PARINTINS";32
"130350 PAUINI";6
"130353 PRESIDENTE FIGUEIREDO";5
"130356 RIO PRETO DA EVA";10
"130360 SANTA ISABEL DO RIO NEGRO";6
"130370 SANTO ANTONIO DO ICA";11
