 Nascidos vivos - Brasil
Nascim p/resid.mãe por Município
Consult pré-natal: De 1 a 3 consultas
Período:2010
"Município";"Nascim_p/resid.mãe"
" MUNICIPIO IGNORADO - RO";-
"110001 ALTA FLORESTA D'OESTE";19
"110002 ARIQUEMES";107
"110003 CABIXI";7
"110004 CACOAL";73
"110005 CEREJEIRAS";4
"110006 COLORADO DO OESTE";1
"110007 CORUMBIARA";4
"110008 COSTA MARQUES";27
"110009 ESPIGAO D'OESTE";34
"110010 GUAJARA-MIRIM";751
"110011 JARU";37
"110012 JI-PARANA";143
"110013 MACHADINHO D'OESTE";50
"110014 NOVA BRASILANDIA D'OESTE";16
"110015 OURO PRETO DO OESTE";32
"110018 PIMENTA BUENO";26
"110020 PORTO VELHO";954
"110025 PRESIDENTE MEDICI";17
"110026 RIO CRESPO";8
"110028 ROLIM DE MOURA";6
"110029 SANTA LUZIA D'OESTE";1
"110030 VILHENA";14
"110032 SAO MIGUEL DO GUAPORE";9
"110033 NOVA MAMORE";91
"110034 ALVORADA D'OESTE";10
"110037 ALTO ALEGRE DOS PARECIS";8
"110040 ALTO PARAISO";21
"110045 BURITIS";27
"110050 NOVO HORIZONTE DO OESTE";5
"110060 CACAULANDIA";2
"110070 CAMPO NOVO DE RONDONIA";13
"110080 CANDEIAS DO JAMARI";43
"110090 CASTANHEIRAS";3
"110092 CHUPINGUAIA";3
"110094 CUJUBIM";24
"110100 GOVERNADOR JORGE TEIXEIRA";4
"110110 ITAPUA DO OESTE";8
"110120 MINISTRO ANDREAZZA";3
"110130 MIRANTE DA SERRA";4
"110140 MONTE NEGRO";8
"110143 NOVA UNIAO";1
"110145 PARECIS";2
"110146 PIMENTEIRAS DO OESTE";4
"110147 PRIMAVERA DE RONDONIA";4
"110148 SAO FELIPE D'OESTE";4
"110149 SAO FRANCISCO DO GUAPORE";7
"110150 SERINGUEIRAS";2
"110155 TEIXEIROPOLIS";3
"110160 THEOBROMA";4
"110170 URUPA";8
"110175 VALE DO ANARI";3
"110180 VALE DO PARAISO";4
" MUNICIPIO IGNORADO - AC";-
"120001 ACRELANDIA";28
"120005 ASSIS BRASIL";43
"120010 BRASILEIA";82
"120013 BUJARI";34
"120017 CAPIXABA";27
"120020 CRUZEIRO DO SUL";404
"120025 EPITACIOLANDIA";47
"120030 FEIJO";200
"120032 JORDAO";139
"120033 MANCIO LIMA";117
"120034 MANOEL URBANO";57
"120035 MARECHAL THAUMATURGO";141
"120038 PLACIDO DE CASTRO";39
"120039 PORTO WALTER";109
"120040 RIO BRANCO";912
"120042 RODRIGUES ALVES";131
"120043 SANTA ROSA DO PURUS";117
"120045 SENADOR GUIOMARD";48
"120050 SENA MADUREIRA";196
"120060 TARAUACA";367
"120070 XAPURI";86
"120080 PORTO ACRE";48
" MUNICIPIO IGNORADO - AM";1
"130002 ALVARAES";81
"130006 AMATURA";80
"130008 ANAMA";33
"130010 ANORI";32
"130014 APUI";15
"130020 ATALAIA DO NORTE";81
"130030 AUTAZES";133
"130040 BARCELOS";80
"130050 BARREIRINHA";140
"130060 BENJAMIN CONSTANT";108
"130063 BERURI";126
"130068 BOA VISTA DO RAMOS";82
"130070 BOCA DO ACRE";212
"130080 BORBA";126
"130083 CAAPIRANGA";51
"130090 CANUTAMA";28
"130100 CARAUARI";52
"130110 CAREIRO";107
"130115 CAREIRO DA VARZEA";58
"130120 COARI";583
"130130 CODAJAS";80
"130140 EIRUNEPE";171
"130150 ENVIRA";90
"130160 FONTE BOA";99
"130165 GUAJARA";92
"130170 HUMAITA";147
"130180 IPIXUNA";15
"130185 IRANDUBA";166
"130190 ITACOATIARA";353
"130195 ITAMARATI";28
"130200 ITAPIRANGA";22
"130210 JAPURA";32
"130220 JURUA";48
"130230 JUTAI";75
"130240 LABREA";148
"130250 MANACAPURU";353
"130255 MANAQUIRI";23
"130260 MANAUS";6536
"130270 MANICORE";154
"130280 MARAA";73
"130290 MAUES";296
"130300 NHAMUNDA";64
"130310 NOVA OLINDA DO NORTE";35
"130320 NOVO AIRAO";63
"130330 NOVO ARIPUANA";122
"130340 PARINTINS";515
"130350 PAUINI";38
"130353 PRESIDENTE FIGUEIREDO";55
"130356 RIO PRETO DA EVA";58
"130360 SANTA ISABEL DO RIO NEGRO";110
"130370 SANTO ANTONIO DO ICA";71
"130380 SAO GABRIEL DA CACHOEIRA";366
"130390 SAO PAULO DE OLIVENCA";648
"130395 SAO SEBASTIAO DO UATUMA";13
"130400 SILVES";16
"130406 TABATINGA";410
"130410 TAPAUA";110
"130420 TEFE";300
"130423 TONANTINS";50
"130426 UARINI";73
"130430 URUCARA";40
"130440 URUCURITUBA";54
" MUNICIPIO IGNORADO - RR";-
"140002 AMAJARI";98
"140005 ALTO ALEGRE";219
"140010 BOA VISTA";666
"140015 BONFIM";59
"140017 CANTA";69
"140020 CARACARAI";89
"140023 CAROEBE";9
"140028 IRACEMA";30
"140030 MUCAJAI";39
"140040 NORMANDIA";81
"140045 PACARAIMA";46
"140047 RORAINOPOLIS";58
"140050 SAO JOAO DA BALIZA";10
"140060 SAO LUIZ";6
"140070 UIRAMUTA";101
" MUNICIPIO IGNORADO - PA";-
"150010 ABAETETUBA";174
"150013 ABEL FIGUEIREDO";7
"150020 ACARA";163
"150030 AFUA";206
"150034 AGUA AZUL DO NORTE";36
"150040 ALENQUER";172
"150050 ALMEIRIM";184
"150060 ALTAMIRA";473
"150070 ANAJAS";174
"150080 ANANINDEUA";884
"150085 ANAPU";65
"150090 AUGUSTO CORREA";236
"150095 AURORA DO PARA";54
"150100 AVEIRO";50
"150110 BAGRE";66
"150120 BAIAO";86
"150125 BANNACH";11
"150130 BARCARENA";157
"150140 BELEM";1414
"150145 BELTERRA";23
"150150 BENEVIDES";44
"150157 BOM JESUS DO TOCANTINS";20
"150160 BONITO";18
"150170 BRAGANCA";472
"150172 BRASIL NOVO";29
"150175 BREJO GRANDE DO ARAGUAIA";14
"150178 BREU BRANCO";223
"150180 BREVES";444
"150190 BUJARU";37
"150195 CACHOEIRA DO PIRIA";41
"150200 CACHOEIRA DO ARARI";39
"150210 CAMETA";472
"150215 CANAA DOS CARAJAS";68
"150220 CAPANEMA";84
"150230 CAPITAO POCO";67
"150240 CASTANHAL";253
"150250 CHAVES";79
"150260 COLARES";20
"150270 CONCEICAO DO ARAGUAIA";80
"150275 CONCORDIA DO PARA";112
"150276 CUMARU DO NORTE";26
"150277 CURIONOPOLIS";30
"150280 CURRALINHO";84
"150285 CURUA";51
"150290 CURUCA";67
"150293 DOM ELISEU";137
"150295 ELDORADO DOS CARAJAS";78
"150300 FARO";22
"150304 FLORESTA DO ARAGUAIA";83
"150307 GARRAFAO DO NORTE";67
"150309 GOIANESIA DO PARA";209
"150310 GURUPA";180
"150320 IGARAPE-ACU";33
"150330 IGARAPE-MIRI";160
"150340 INHANGAPI";9
"150345 IPIXUNA DO PARA";137
"150350 IRITUIA";63
"150360 ITAITUBA";631
"150370 ITUPIRANGA";445
"150375 JACAREACANGA";156
"150380 JACUNDA";201
"150390 JURUTI";139
"150400 LIMOEIRO DO AJURU";82
"150405 MAE DO RIO";24
"150410 MAGALHAES BARATA";4
"150420 MARABA";820
"150430 MARACANA";86
