 Nascidos vivos - Brasil
Nascim p/resid.mãe por Município
Idade da mãe: 40 a 44 anos, 45 a 49 anos
Período:2010
"Município";"Nascim_p/resid.mãe"
" MUNICIPIO IGNORADO - RO";-
"110001 ALTA FLORESTA D'OESTE";1
"110002 ARIQUEMES";10
"110003 CABIXI";1
"110004 CACOAL";13
"110005 CEREJEIRAS";7
"110006 COLORADO DO OESTE";2
"110007 CORUMBIARA";3
"110008 COSTA MARQUES";1
"110009 ESPIGAO D'OESTE";7
"110010 GUAJARA-MIRIM";7
"110011 JARU";7
"110012 JI-PARANA";22
"110013 MACHADINHO D'OESTE";4
"110014 NOVA BRASILANDIA D'OESTE";3
"110015 OURO PRETO DO OESTE";5
"110018 PIMENTA BUENO";8
"110020 PORTO VELHO";110
"110025 PRESIDENTE MEDICI";3
"110026 RIO CRESPO";-
"110028 ROLIM DE MOURA";12
"110029 SANTA LUZIA D'OESTE";1
"110030 VILHENA";16
"110032 SAO MIGUEL DO GUAPORE";3
"110033 NOVA MAMORE";2
"110034 ALVORADA D'OESTE";1
"110037 ALTO ALEGRE DOS PARECIS";2
"110040 ALTO PARAISO";2
"110045 BURITIS";4
"110050 NOVO HORIZONTE DO OESTE";2
"110060 CACAULANDIA";1
"110070 CAMPO NOVO DE RONDONIA";1
"110080 CANDEIAS DO JAMARI";3
"110090 CASTANHEIRAS";-
"110092 CHUPINGUAIA";3
"110094 CUJUBIM";3
"110100 GOVERNADOR JORGE TEIXEIRA";1
"110110 ITAPUA DO OESTE";1
"110120 MINISTRO ANDREAZZA";1
"110130 MIRANTE DA SERRA";-
"110140 MONTE NEGRO";2
"110143 NOVA UNIAO";-
"110145 PARECIS";-
"110146 PIMENTEIRAS DO OESTE";-
"110147 PRIMAVERA DE RONDONIA";-
"110148 SAO FELIPE D'OESTE";1
"110149 SAO FRANCISCO DO GUAPORE";2
"110150 SERINGUEIRAS";2
"110155 TEIXEIROPOLIS";1
"110160 THEOBROMA";2
"110170 URUPA";-
"110175 VALE DO ANARI";-
"110180 VALE DO PARAISO";-
" MUNICIPIO IGNORADO - AC";-
"120001 ACRELANDIA";3
"120005 ASSIS BRASIL";3
"120010 BRASILEIA";4
"120013 BUJARI";1
"120017 CAPIXABA";1
"120020 CRUZEIRO DO SUL";39
"120025 EPITACIOLANDIA";5
"120030 FEIJO";28
"120032 JORDAO";8
"120033 MANCIO LIMA";6
"120034 MANOEL URBANO";12
"120035 MARECHAL THAUMATURGO";13
"120038 PLACIDO DE CASTRO";4
"120039 PORTO WALTER";18
"120040 RIO BRANCO";98
"120042 RODRIGUES ALVES";8
"120043 SANTA ROSA DO PURUS";9
"120045 SENADOR GUIOMARD";5
"120050 SENA MADUREIRA";20
"120060 TARAUACA";35
