 Nascidos vivos - Brasil
Nascim p/resid.mãe por Município
Instrução da mãe: 4 a 7 anos
Período:2010
"Município";"Nascim_p/resid.mãe"
" MUNICIPIO IGNORADO - RO";-
"110001 ALTA FLORESTA D'OESTE";166
"110002 ARIQUEMES";480
"110003 CABIXI";19
"110004 CACOAL";319
"110005 CEREJEIRAS";84
"110006 COLORADO DO OESTE";78
"110007 CORUMBIARA";59
"110008 COSTA MARQUES";99
"110009 ESPIGAO D'OESTE";191
"110010 GUAJARA-MIRIM";371
"110011 JARU";286
"110012 JI-PARANA";441
"110013 MACHADINHO D'OESTE";209
"110014 NOVA BRASILANDIA D'OESTE";97
"110015 OURO PRETO DO OESTE";199
"110018 PIMENTA BUENO";208
"110020 PORTO VELHO";2168
"110025 PRESIDENTE MEDICI";68
"110026 RIO CRESPO";16
"110028 ROLIM DE MOURA";139
"110029 SANTA LUZIA D'OESTE";32
"110030 VILHENA";301
"110032 SAO MIGUEL DO GUAPORE";92
"110033 NOVA MAMORE";186
"110034 ALVORADA D'OESTE";69
"110037 ALTO ALEGRE DOS PARECIS";77
"110040 ALTO PARAISO";109
"110045 BURITIS";244
"110050 NOVO HORIZONTE DO OESTE";41
"110060 CACAULANDIA";25
"110070 CAMPO NOVO DE RONDONIA";77
"110080 CANDEIAS DO JAMARI";142
"110090 CASTANHEIRAS";17
"110092 CHUPINGUAIA";44
"110094 CUJUBIM";102
"110100 GOVERNADOR JORGE TEIXEIRA";67
"110110 ITAPUA DO OESTE";44
"110120 MINISTRO ANDREAZZA";41
"110130 MIRANTE DA SERRA";115
"110140 MONTE NEGRO";77
"110143 NOVA UNIAO";50
"110145 PARECIS";19
"110146 PIMENTEIRAS DO OESTE";13
"110147 PRIMAVERA DE RONDONIA";18
"110148 SAO FELIPE D'OESTE";22
"110149 SAO FRANCISCO DO GUAPORE";128
"110150 SERINGUEIRAS";75
"110155 TEIXEIROPOLIS";17
"110160 THEOBROMA";58
"110170 URUPA";56
"110175 VALE DO ANARI";37
"110180 VALE DO PARAISO";33
" MUNICIPIO IGNORADO - AC";-
