 Nascidos vivos - Brasil
Nascim p/resid.mãe por Município
Consult pré-natal: Nenhuma
Período:2010
"Município";"Nascim_p/resid.mãe"
" MUNICIPIO IGNORADO - RO";-
"110001 ALTA FLORESTA D'OESTE";2
"110002 ARIQUEMES";15
"110003 CABIXI";1
"110004 CACOAL";7
"110005 CEREJEIRAS";2
"110006 COLORADO DO OESTE";1
"110007 CORUMBIARA";1
"110008 COSTA MARQUES";-
"110009 ESPIGAO D'OESTE";7
"110010 GUAJARA-MIRIM";3
"110011 JARU";3
"110012 JI-PARANA";18
"110013 MACHADINHO D'OESTE";4
"110014 NOVA BRASILANDIA D'OESTE";-
"110015 OURO PRETO DO OESTE";5
"110018 PIMENTA BUENO";3
"110020 PORTO VELHO";442
"110025 PRESIDENTE MEDICI";3
"110026 RIO CRESPO";-
"110028 ROLIM DE MOURA";2
"110029 SANTA LUZIA D'OESTE";-
"110030 VILHENA";17
"110032 SAO MIGUEL DO GUAPORE";1
"110033 NOVA MAMORE";9
"110034 ALVORADA D'OESTE";1
"110037 ALTO ALEGRE DOS PARECIS";-
"110040 ALTO PARAISO";4
"110045 BURITIS";5
"110050 NOVO HORIZONTE DO OESTE";-
"110060 CACAULANDIA";1
"110070 CAMPO NOVO DE RONDONIA";2
"110080 CANDEIAS DO JAMARI";11
"110090 CASTANHEIRAS";-
"110092 CHUPINGUAIA";2
"110094 CUJUBIM";8
"110100 GOVERNADOR JORGE TEIXEIRA";1
"110110 ITAPUA DO OESTE";1
"110120 MINISTRO ANDREAZZA";-
"110130 MIRANTE DA SERRA";3
"110140 MONTE NEGRO";5
"110143 NOVA UNIAO";-
"110145 PARECIS";1
"110146 PIMENTEIRAS DO OESTE";1
"110147 PRIMAVERA DE RONDONIA";-
"110148 SAO FELIPE D'OESTE";-
"110149 SAO FRANCISCO DO GUAPORE";6
"110150 SERINGUEIRAS";-
"110155 TEIXEIROPOLIS";-
"110160 THEOBROMA";1
"110170 URUPA";1
"110175 VALE DO ANARI";1
"110180 VALE DO PARAISO";1
" MUNICIPIO IGNORADO - AC";-
"120001 ACRELANDIA";3
"120005 ASSIS BRASIL";86
"120010 BRASILEIA";23
"120013 BUJARI";9
"120017 CAPIXABA";8
"120020 CRUZEIRO DO SUL";382
"120025 EPITACIOLANDIA";14
"120030 FEIJO";147
"120032 JORDAO";21
"120033 MANCIO LIMA";33
"120034 MANOEL URBANO";14
"120035 MARECHAL THAUMATURGO";37
"120038 PLACIDO DE CASTRO";3
