"Tabela 3218 - Domicílios particulares permanentes, por forma de abastecimento de água, segundo a existência de banheiro ou sanitário e esgotamento sanitário, o destino do lixo e a existência de energia elétrica"
"Variável - Domicílios particulares permanentes - percentual do total geral"
"Cód.";"Município";"Destino do lixo";"Existência de energia elétrica";"Ano x Forma de abastecimento de água x Existência de banheiro ou sanitário e esgotamento sanitário"
"Cód.";"Município";"Destino do lixo";"Existência de energia elétrica";"2010"
"Cód.";"Município";"Destino do lixo";"Existência de energia elétrica";"Total"
"Cód.";"Município";"Destino do lixo";"Existência de energia elétrica";"Tinham banheiro - de uso exclusivo do domicílio - rede geral de esgoto ou pluvial ou fossa séptica"
"1100015";"Alta Floresta D'Oeste (RO)";"Total";"Total";"2,08"
"1100023";"Ariquemes (RO)";"Total";"Total";"8,88"
"1100031";"Cabixi (RO)";"Total";"Total";"21,01"
"1100049";"Cacoal (RO)";"Total";"Total";"53,83"
"1100056";"Cerejeiras (RO)";"Total";"Total";"16,72"
"1100064";"Colorado do Oeste (RO)";"Total";"Total";"4,97"
"1100072";"Corumbiara (RO)";"Total";"Total";"10,57"
"1100080";"Costa Marques (RO)";"Total";"Total";"7,63"
"1100098";"Espigão D'Oeste (RO)";"Total";"Total";"12,53"
"1100106";"Guajará-Mirim (RO)";"Total";"Total";"21,53"
"1100114";"Jaru (RO)";"Total";"Total";"3,31"
"1100122";"Ji-Paraná (RO)";"Total";"Total";"20,27"
"1100130";"Machadinho D'Oeste (RO)";"Total";"Total";"2,03"
"1100148";"Nova Brasilândia D'Oeste (RO)";"Total";"Total";"3,60"
"1100155";"Ouro Preto do Oeste (RO)";"Total";"Total";"9,98"
"1100189";"Pimenta Bueno (RO)";"Total";"Total";"38,18"
"1100205";"Porto Velho (RO)";"Total";"Total";"42,33"
"1100254";"Presidente Médici (RO)";"Total";"Total";"1,62"
"1100262";"Rio Crespo (RO)";"Total";"Total";"18,15"
"1100288";"Rolim de Moura (RO)";"Total";"Total";"14,91"
"1100296";"Santa Luzia D'Oeste (RO)";"Total";"Total";"1,97"
"1100304";"Vilhena (RO)";"Total";"Total";"13,50"
"1100320";"São Miguel do Guaporé (RO)";"Total";"Total";"7,43"
"1100338";"Nova Mamoré (RO)";"Total";"Total";"7,73"
"1100346";"Alvorada D'Oeste (RO)";"Total";"Total";"35,52"
"1100379";"Alto Alegre dos Parecis (RO)";"Total";"Total";"0,51"
"1100403";"Alto Paraíso (RO)";"Total";"Total";"10,49"
"1100452";"Buritis (RO)";"Total";"Total";"1,79"
"1100502";"Novo Horizonte do Oeste (RO)";"Total";"Total";"9,42"
"1100601";"Cacaulândia (RO)";"Total";"Total";"17,91"
"1100700";"Campo Novo de Rondônia (RO)";"Total";"Total";"12,68"
"1100809";"Candeias do Jamari (RO)";"Total";"Total";"8,64"
"1100908";"Castanheiras (RO)";"Total";"Total";"1,35"
"1100924";"Chupinguaia (RO)";"Total";"Total";"2,52"
"1100940";"Cujubim (RO)";"Total";"Total";"7,01"
"1101005";"Governador Jorge Teixeira (RO)";"Total";"Total";"27,07"
"1101104";"Itapuã do Oeste (RO)";"Total";"Total";"3,00"
"1101203";"Ministro Andreazza (RO)";"Total";"Total";"4,48"
"1101302";"Mirante da Serra (RO)";"Total";"Total";"0,91"
"1101401";"Monte Negro (RO)";"Total";"Total";"1,20"
"1101435";"Nova União (RO)";"Total";"Total";"0,95"
"1101450";"Parecis (RO)";"Total";"Total";"0,65"
"1101468";"Pimenteiras do Oeste (RO)";"Total";"Total";"17,86"
"1101476";"Primavera de Rondônia (RO)";"Total";"Total";"1,85"
"1101484";"São Felipe D'Oeste (RO)";"Total";"Total";"16,02"
"1101492";"São Francisco do Guaporé (RO)";"Total";"Total";"3,72"
"1101500";"Seringueiras (RO)";"Total";"Total";"19,51"
"1101559";"Teixeirópolis (RO)";"Total";"Total";"2,03"
"1101609";"Theobroma (RO)";"Total";"Total";"10,63"
"1101708";"Urupá (RO)";"Total";"Total";"10,59"
"1101757";"Vale do Anari (RO)";"Total";"Total";"0,46"
"1101807";"Vale do Paraíso (RO)";"Total";"Total";"0,29"
"1200013";"Acrelândia (AC)";"Total";"Total";"10,93"
"1200054";"Assis Brasil (AC)";"Total";"Total";"22,87"
"1200104";"Brasiléia (AC)";"Total";"Total";"25,89"
"1200138";"Bujari (AC)";"Total";"Total";"18,20"
"1200179";"Capixaba (AC)";"Total";"Total";"32,51"
"1200203";"Cruzeiro do Sul (AC)";"Total";"Total";"12,50"
"1200252";"Epitaciolândia (AC)";"Total";"Total";"19,29"
"1200302";"Feijó (AC)";"Total";"Total";"9,19"
"1200328";"Jordão (AC)";"Total";"Total";"3,45"
"1200336";"Mâncio Lima (AC)";"Total";"Total";"1,12"
"1200344";"Manoel Urbano (AC)";"Total";"Total";"10,60"
"1200351";"Marechal Thaumaturgo (AC)";"Total";"Total";"6,07"
"1200385";"Plácido de Castro (AC)";"Total";"Total";"14,32"
"1200393";"Porto Walter (AC)";"Total";"Total";"0,59"
"1200401";"Rio Branco (AC)";"Total";"Total";"55,56"
"1200427";"Rodrigues Alves (AC)";"Total";"Total";"8,75"
"1200435";"Santa Rosa do Purus (AC)";"Total";"Total";"4,17"
"1200450";"Senador Guiomard (AC)";"Total";"Total";"23,47"
"1200500";"Sena Madureira (AC)";"Total";"Total";"12,64"
