"Tabela 3218 - Domicílios particulares permanentes, por forma de abastecimento de água, segundo a existência de banheiro ou sanitário e esgotamento sanitário, o destino do lixo e a existência de energia elétrica"
"Variável - Domicílios particulares permanentes - percentual do total geral"
"Cód.";"Município";"Destino do lixo";"Existência de energia elétrica";"Ano x Forma de abastecimento de água x Existência de banheiro ou sanitário e esgotamento sanitário"
"Cód.";"Município";"Destino do lixo";"Existência de energia elétrica";"2010"
"Cód.";"Município";"Destino do lixo";"Existência de energia elétrica";"Rede geral"
"Cód.";"Município";"Destino do lixo";"Existência de energia elétrica";"Total"
"1100015";"Alta Floresta D'Oeste (RO)";"Total";"Total";"24,40"
"1100023";"Ariquemes (RO)";"Total";"Total";"35,25"
"1100031";"Cabixi (RO)";"Total";"Total";"24,00"
"1100049";"Cacoal (RO)";"Total";"Total";"76,10"
"1100056";"Cerejeiras (RO)";"Total";"Total";"33,96"
"1100064";"Colorado do Oeste (RO)";"Total";"Total";"60,70"
"1100072";"Corumbiara (RO)";"Total";"Total";"12,99"
"1100080";"Costa Marques (RO)";"Total";"Total";"16,48"
"1100098";"Espigão D'Oeste (RO)";"Total";"Total";"27,47"
"1100106";"Guajará-Mirim (RO)";"Total";"Total";"44,74"
"1100114";"Jaru (RO)";"Total";"Total";"24,58"
"1100122";"Ji-Paraná (RO)";"Total";"Total";"46,40"
"1100130";"Machadinho D'Oeste (RO)";"Total";"Total";"31,63"
"1100148";"Nova Brasilândia D'Oeste (RO)";"Total";"Total";"28,30"
"1100155";"Ouro Preto do Oeste (RO)";"Total";"Total";"46,41"
"1100189";"Pimenta Bueno (RO)";"Total";"Total";"70,53"
"1100205";"Porto Velho (RO)";"Total";"Total";"37,61"
"1100254";"Presidente Médici (RO)";"Total";"Total";"34,41"
"1100262";"Rio Crespo (RO)";"Total";"Total";"8,12"
"1100288";"Rolim de Moura (RO)";"Total";"Total";"49,79"
"1100296";"Santa Luzia D'Oeste (RO)";"Total";"Total";"19,05"
"1100304";"Vilhena (RO)";"Total";"Total";"94,44"
"1100320";"São Miguel do Guaporé (RO)";"Total";"Total";"7,35"
"1100338";"Nova Mamoré (RO)";"Total";"Total";"6,66"
"1100346";"Alvorada D'Oeste (RO)";"Total";"Total";"44,06"
"1100379";"Alto Alegre dos Parecis (RO)";"Total";"Total";"6,95"
"1100403";"Alto Paraíso (RO)";"Total";"Total";"6,05"
"1100452";"Buritis (RO)";"Total";"Total";"0,34"
"1100502";"Novo Horizonte do Oeste (RO)";"Total";"Total";"13,64"
"1100601";"Cacaulândia (RO)";"Total";"Total";"9,46"
"1100700";"Campo Novo de Rondônia (RO)";"Total";"Total";"21,97"
"1100809";"Candeias do Jamari (RO)";"Total";"Total";"55,13"
"1100908";"Castanheiras (RO)";"Total";"Total";"25,63"
"1100924";"Chupinguaia (RO)";"Total";"Total";"62,60"
"1100940";"Cujubim (RO)";"Total";"Total";"10,43"
"1101005";"Governador Jorge Teixeira (RO)";"Total";"Total";"0,50"
"1101104";"Itapuã do Oeste (RO)";"Total";"Total";"29,77"
"1101203";"Ministro Andreazza (RO)";"Total";"Total";"18,87"
"1101302";"Mirante da Serra (RO)";"Total";"Total";"14,51"
"1101401";"Monte Negro (RO)";"Total";"Total";"28,50"
"1101435";"Nova União (RO)";"Total";"Total";"9,29"
"1101450";"Parecis (RO)";"Total";"Total";"26,85"
"1101468";"Pimenteiras do Oeste (RO)";"Total";"Total";"46,86"
"1101476";"Primavera de Rondônia (RO)";"Total";"Total";"50,97"
"1101484";"São Felipe D'Oeste (RO)";"Total";"Total";"21,44"
"1101492";"São Francisco do Guaporé (RO)";"Total";"Total";"0,02"
"1101500";"Seringueiras (RO)";"Total";"Total";"9,53"
"1101559";"Teixeirópolis (RO)";"Total";"Total";"9,83"
"1101609";"Theobroma (RO)";"Total";"Total";"10,30"
"1101708";"Urupá (RO)";"Total";"Total";"15,59"
"1101757";"Vale do Anari (RO)";"Total";"Total";"14,29"
"1101807";"Vale do Paraíso (RO)";"Total";"Total";"5,14"
"1200013";"Acrelândia (AC)";"Total";"Total";"29,00"
"1200054";"Assis Brasil (AC)";"Total";"Total";"49,71"
"1200104";"Brasiléia (AC)";"Total";"Total";"55,77"
"1200138";"Bujari (AC)";"Total";"Total";"40,13"
"1200179";"Capixaba (AC)";"Total";"Total";"39,06"
"1200203";"Cruzeiro do Sul (AC)";"Total";"Total";"51,36"
"1200252";"Epitaciolândia (AC)";"Total";"Total";"60,42"
"1200302";"Feijó (AC)";"Total";"Total";"13,50"
"1200328";"Jordão (AC)";"Total";"Total";"36,07"
"1200336";"Mâncio Lima (AC)";"Total";"Total";"53,96"
"1200344";"Manoel Urbano (AC)";"Total";"Total";"58,07"
"1200351";"Marechal Thaumaturgo (AC)";"Total";"Total";"23,93"
"1200385";"Plácido de Castro (AC)";"Total";"Total";"34,50"
"1200393";"Porto Walter (AC)";"Total";"Total";"38,48"
"1200401";"Rio Branco (AC)";"Total";"Total";"52,98"
"1200427";"Rodrigues Alves (AC)";"Total";"Total";"43,15"
"1200435";"Santa Rosa do Purus (AC)";"Total";"Total";"47,79"
"1200450";"Senador Guiomard (AC)";"Total";"Total";"34,02"
"1200500";"Sena Madureira (AC)";"Total";"Total";"38,62"
"1200609";"Tarauacá (AC)";"Total";"Total";"42,21"
"1200708";"Xapuri (AC)";"Total";"Total";"51,43"
"1200807";"Porto Acre (AC)";"Total";"Total";"24,48"
"1300029";"Alvarães (AM)";"Total";"Total";"47,72"
"1300060";"Amaturá (AM)";"Total";"Total";"66,22"
"1300086";"Anamã (AM)";"Total";"Total";"52,95"
"1300102";"Anori (AM)";"Total";"Total";"65,00"
"1300144";"Apuí (AM)";"Total";"Total";"12,29"
"1300201";"Atalaia do Norte (AM)";"Total";"Total";"35,91"
"1300300";"Autazes (AM)";"Total";"Total";"20,27"
"1300409";"Barcelos (AM)";"Total";"Total";"49,45"
"1300508";"Barreirinha (AM)";"Total";"Total";"54,23"
"1300607";"Benjamin Constant (AM)";"Total";"Total";"52,10"
"1300631";"Beruri (AM)";"Total";"Total";"52,91"
"1300680";"Boa Vista do Ramos (AM)";"Total";"Total";"56,17"
"1300706";"Boca do Acre (AM)";"Total";"Total";"55,64"
"1300805";"Borba (AM)";"Total";"Total";"51,20"
"1300839";"Caapiranga (AM)";"Total";"Total";"19,61"
"1300904";"Canutama (AM)";"Total";"Total";"47,38"
"1301001";"Carauari (AM)";"Total";"Total";"63,61"
"1301100";"Careiro (AM)";"Total";"Total";"36,42"
"1301159";"Careiro da Várzea (AM)";"Total";"Total";"11,25"
"1301209";"Coari (AM)";"Total";"Total";"26,76"
"1301308";"Codajás (AM)";"Total";"Total";"59,47"
"1301407";"Eirunepé (AM)";"Total";"Total";"44,80"
